dz_2021_code,white,asian,black,mixed,other
N20000336,456,2,3,0,2
N20000337,467,9,0,3,2
N20000338,406,0,0,0,0
N20000339,552,0,0,1,8
N20000340,541,0,0,1,1
N20000341,676,1,0,0,1
N20000342,415,0,0,0,1
N20000343,669,0,0,1,1
N20000344,583,0,0,0,0
N20000345,570,0,1,0,0
N20000346,654,2,0,1,0
N20000347,517,0,0,1,0
N20000348,525,1,0,0,0
N20000349,454,2,0,4,9
N20000350,607,4,0,2,16
N20000351,420,5,5,0,1
N20000352,562,2,1,5,10
N20000353,509,0,0,1,2
N20000354,735,0,0,1,0
N20000355,526,0,1,0,0
N20000356,694,5,0,2,0
N20000357,388,1,1,2,0
N20000358,558,3,0,0,0
N20000359,549,2,1,3,0
N20000360,402,0,0,0,1
N20000361,657,2,8,1,1
N20000362,644,2,0,1,1
N20000363,486,0,0,2,2
N20000364,551,3,0,4,1
N20000365,537,2,0,0,0
N20000366,467,0,0,0,0
N20000367,593,0,0,4,0
N20000368,640,1,6,7,14
N20000369,649,0,1,7,1
N20000370,399,12,0,4,0
N20000371,582,12,10,2,3
N20000372,622,10,11,8,1
N20000373,554,2,15,9,0
N20000374,349,4,15,0,0
N20000375,271,12,30,6,6
N20000376,236,7,25,5,3
N20000377,401,25,33,12,2
N20000378,379,12,0,17,1
N20000379,551,17,57,27,5
N20000380,380,4,0,3,0
N20000381,487,15,56,11,8
N20000382,400,46,100,27,19
N20000383,651,2,0,2,0
N20000384,610,21,14,5,0
N20000385,324,1,8,6,3
N20000386,333,20,64,15,5
N20000387,286,2,1,3,1
N20000388,369,3,6,0,5
N20000389,675,6,5,14,1
N20000390,409,3,8,9,8
N20000391,250,0,15,5,5
N20000392,516,13,0,7,0
N20000393,371,26,42,10,11
N20000394,299,7,0,3,1
N20000395,337,51,112,27,15
N20000396,396,7,18,3,6
N20000397,688,22,1,3,1
N20000398,368,24,61,5,1
N20000399,405,5,21,7,4
N20000400,282,49,87,22,18
N20000401,631,2,0,0,2
N20000402,752,17,5,10,3
N20000403,315,24,99,14,9
N20000404,607,4,11,7,0
N20000405,459,1,12,22,0
N20000406,292,0,2,0,0
N20000407,392,5,0,5,1
N20000408,316,1,1,0,3
N20000409,236,0,0,0,2
N20000410,329,2,17,3,0
N20000411,459,14,36,16,1
N20000412,505,6,8,5,1
N20000413,678,16,3,9,1
N20000414,463,3,0,3,3
N20000415,445,0,0,0,0
N20000416,634,2,0,4,0
N20000417,569,8,0,2,0
N20000418,708,5,0,0,1
N20000419,477,1,0,5,1
N20000420,471,1,0,1,0
N20000421,710,0,0,1,0
N20000422,793,0,1,2,0
N20000423,771,6,0,1,0
N20000424,789,1,2,0,2
N20000425,311,1,0,5,1
N20000426,550,0,0,0,0
N20000427,581,7,1,2,1
N20000428,839,5,2,6,2
N20000429,362,1,0,2,3
N20000430,440,3,8,3,0
N20000431,500,6,2,5,7
N20000432,555,1,7,5,6
N20000433,642,52,11,14,0
N20000434,507,17,26,7,56
N20000435,660,21,9,7,2
N20000436,455,12,7,5,2
N20000437,351,7,9,0,1
N20000438,324,32,3,0,4
N20000439,418,2,3,2,32
N20000440,371,2,22,7,4
N20000441,419,2,13,2,12
N20000442,444,6,9,0,12
N20000443,408,25,1,8,1
N20000444,351,16,31,8,2
N20000445,460,12,12,14,22
N20000446,599,52,7,9,0
N20000447,467,22,11,19,0
N20000448,566,3,0,4,9
N20000449,380,7,7,6,10
N20000450,283,16,7,7,0
N20000451,657,54,5,7,0
N20000452,404,15,0,3,0
N20000453,570,8,2,18,3
N20000454,314,5,0,1,2
N20000455,435,16,4,2,0
N20000456,380,35,1,6,0
N20000457,546,48,15,8,2
N20000458,393,8,1,1,1
N20000459,395,10,7,4,1
N20000460,620,68,2,19,0
N20000461,604,43,0,7,2
N20000462,466,14,3,6,0
N20000463,401,6,0,6,2
N20000464,485,32,3,3,0
N20000465,241,0,0,0,0
N20000466,486,3,11,4,0
N20000467,468,16,1,0,0
N20000468,438,12,3,7,0
N20000469,561,7,1,3,1
N20000470,438,20,0,7,1
N20000471,591,36,0,4,0
N20000472,559,40,1,9,2
N20000473,444,17,1,3,0
N20000474,702,21,0,1,1
N20000475,633,12,0,3,0
N20000476,568,1,0,0,0
N20000477,562,3,1,0,0
N20000478,605,2,0,9,2
N20000479,379,0,0,3,0
N20000480,473,0,0,0,5
N20000481,661,0,0,0,0
N20000482,771,1,1,4,0
N20000483,678,0,0,4,0
N20000484,550,0,0,1,1
N20000485,632,0,0,0,0
N20000486,572,0,1,0,1
N20000487,540,0,0,0,0
N20000488,538,3,0,2,1
N20000489,440,1,0,1,0
N20000490,773,0,1,9,1
N20000491,429,5,0,3,0
N20000492,522,6,1,1,0
N20000493,587,0,3,0,0
N20000494,600,5,0,10,0
N20000495,646,0,0,4,0
N20000496,648,2,4,7,8
N20000497,459,1,3,4,0
N20000498,419,16,5,10,41
N20000499,554,0,0,0,2
N20000500,361,18,3,7,9
N20000501,543,3,0,2,0
N20000502,443,1,0,4,0
N20000503,405,0,1,0,1
N20000504,302,9,9,7,29
N20000505,325,12,2,2,4
N20000506,439,13,16,14,21
N20000507,644,4,5,6,1
N20000508,373,2,1,8,4
N20000509,315,12,1,1,5
N20000510,592,25,0,1,1
N20000511,529,0,0,6,0
N20000512,450,24,8,6,26
N20000513,371,1,6,4,2
N20000514,452,18,10,7,0
N20000515,499,4,5,15,1
N20000516,457,7,0,1,8
N20000517,483,6,0,4,0
N20000518,448,9,0,3,0
N20000519,280,17,4,6,8
N20000520,655,18,0,5,0
N20000521,655,4,5,1,10
N20000522,478,1,1,9,9
N20000523,418,10,6,4,12
N20000524,485,24,0,3,11
N20000525,389,11,5,5,0
N20000526,319,6,0,4,11
N20000527,477,24,7,5,14
N20000528,401,11,0,5,0
N20000529,445,12,0,0,2
N20000530,465,3,0,8,2
N20000531,400,0,1,5,3
N20000532,256,0,0,1,3
N20000533,324,5,1,7,0
N20000534,378,3,1,7,0
N20000535,460,9,5,8,0
N20000536,820,11,8,7,5
N20000537,474,16,5,1,1
N20000538,649,4,7,23,6
N20000539,429,2,0,0,1
N20000540,433,4,4,7,5
N20000541,486,0,0,0,0
N20000542,481,8,0,4,1
N20000543,500,0,0,5,2
N20000544,530,5,0,5,0
N20000545,443,2,0,5,0
N20000546,294,1,1,1,0
N20000547,537,4,3,4,0
N20000548,473,4,0,5,6
N20000549,620,6,2,4,6
N20000550,484,9,0,6,0
N20000551,613,3,0,6,2
N20000552,614,4,0,4,2
N20000553,699,4,0,6,2
N20000554,474,0,1,0,2
