dz_2021_code,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000256,2,23,30,72,21,18,7,7,5
N20000257,30,25,17,21,8,4,8,31,4
N20000258,33,28,34,42,19,8,3,30,7
N20000259,56,37,29,36,17,17,11,63,7
N20000260,40,23,56,64,25,9,9,36,5
N20000261,27,12,45,97,38,6,11,48,17
N20000262,33,14,40,63,24,7,17,43,6
N20000263,21,35,48,56,16,7,7,31,11
N20000264,16,96,49,65,10,21,12,10,11
N20000265,13,40,49,48,24,17,6,8,7
N20000266,12,18,34,40,17,9,6,10,2
N20000267,4,41,40,122,12,32,10,4,8
N20000268,23,26,34,51,35,1,4,25,10
N20000269,35,29,43,52,33,16,14,24,8
N20000270,7,49,23,34,3,23,5,4,3
N20000271,2,15,20,78,14,15,6,10,0
N20000272,1,40,55,99,5,19,6,3,5
N20000273,5,42,22,44,8,22,9,5,4
N20000274,26,17,34,49,24,5,10,24,9
N20000275,1,38,41,73,3,12,5,4,5
N20000276,5,24,37,96,7,16,3,3,6
N20000277,2,21,22,55,10,17,4,2,6
N20000278,17,11,38,45,30,3,10,23,9
N20000279,14,29,61,109,16,12,6,15,10
N20000280,10,18,54,67,28,3,1,27,15
N20000281,20,16,45,61,36,11,10,26,8
N20000282,15,8,22,35,30,1,12,16,7
N20000283,23,60,44,62,14,49,13,22,9
N20000284,17,30,21,59,29,28,11,7,9
N20000285,20,23,28,59,27,7,7,35,16
N20000286,8,22,22,59,21,8,14,14,8
N20000287,15,29,30,83,30,24,11,12,9
N20000288,32,62,22,35,13,28,10,8,8
N20000289,20,44,13,25,14,20,10,7,0
N20000290,44,15,10,17,4,27,3,7,4
N20000291,18,23,25,20,17,7,12,10,2
N20000292,5,17,23,51,31,23,10,8,13
N20000293,14,15,25,47,31,4,13,24,8
N20000294,26,35,43,67,38,21,13,13,14
N20000295,35,27,19,61,27,8,18,40,11
N20000296,26,19,23,49,20,7,17,20,11
N20000297,25,31,26,60,24,30,18,10,8
N20000298,19,23,15,61,38,11,10,20,15
N20000299,21,26,27,39,28,11,7,15,11
N20000300,12,12,12,47,28,4,9,21,12
N20000301,21,24,17,85,29,28,10,19,5
N20000302,45,29,27,53,39,6,11,41,11
N20000303,26,44,24,49,21,28,19,24,18
N20000304,21,53,27,40,15,32,17,13,7
N20000305,16,36,33,62,22,15,12,19,3
N20000306,31,20,33,57,18,8,12,30,4
N20000307,20,19,29,36,20,6,4,21,7
N20000308,25,28,16,41,10,22,9,9,17
N20000309,27,30,26,61,29,18,19,12,19
N20000310,16,15,20,41,24,4,8,22,5
N20000311,14,27,42,55,9,16,6,12,8
N20000312,31,37,18,46,32,16,18,14,8
N20000313,40,105,21,17,9,18,14,12,14
N20000314,26,18,9,30,10,7,7,16,7
N20000315,54,42,22,25,16,10,9,25,9
N20000316,17,39,12,29,13,34,19,15,17
N20000317,11,27,19,65,23,42,15,9,20
N20000318,32,22,20,36,19,23,23,14,10
N20000319,33,50,11,6,9,12,8,10,5
N20000320,39,91,16,25,4,28,8,14,16
N20000321,17,53,15,23,7,17,13,9,5
N20000322,24,34,13,18,14,42,19,6,13
N20000323,24,44,9,11,6,10,10,10,3
N20000324,41,62,14,19,8,22,9,10,6
N20000325,32,29,20,33,12,15,9,18,7
N20000326,44,55,31,33,14,27,20,20,11
N20000327,28,61,16,25,26,40,19,11,10
N20000328,24,12,19,27,6,13,5,25,6
N20000329,26,42,35,70,28,38,17,23,14
N20000330,33,25,15,40,8,20,16,31,11
N20000331,9,16,21,74,19,14,5,10,6
N20000332,33,32,19,54,18,9,9,17,3
N20000333,18,39,19,36,15,27,16,10,15
N20000334,23,14,31,53,28,11,7,30,7
N20000335,1,17,21,54,7,15,5,2,5
N20000336,18,22,48,45,6,17,5,13,7
N20000337,18,32,26,58,15,18,7,10,5
N20000338,14,9,19,46,19,3,6,15,3
N20000339,26,50,21,50,24,28,4,17,8
N20000340,17,21,32,51,30,3,5,22,7
N20000341,17,18,23,77,35,9,9,14,6
N20000342,18,16,12,31,13,17,7,19,9
N20000343,27,14,24,61,34,5,9,26,14
N20000344,18,18,24,52,31,9,12,19,15
N20000345,14,19,21,54,30,10,10,20,4
N20000346,24,25,22,64,32,7,15,22,7
N20000347,11,18,16,47,29,7,11,13,12
N20000348,19,25,12,49,13,25,13,14,11
N20000349,48,53,15,28,14,15,13,23,9
N20000350,10,39,21,53,16,49,14,9,7
N20000351,22,43,19,27,10,20,18,14,14
N20000352,49,85,27,37,17,22,21,20,10
N20000353,19,22,13,46,21,11,14,17,8
N20000354,25,22,31,60,38,7,15,16,17
N20000355,18,14,17,42,23,17,10,15,14
N20000356,35,31,18,67,41,11,16,26,7
N20000357,16,23,31,32,9,7,9,19,5
N20000358,32,13,32,46,28,4,11,32,10
N20000359,16,38,26,75,9,21,11,6,5
N20000360,15,13,21,42,18,1,6,12,7
N20000361,20,23,40,78,25,11,7,13,12
N20000362,21,44,23,67,23,18,16,25,8
N20000363,13,9,28,53,19,5,10,13,8
N20000364,23,17,27,57,26,4,5,18,11
N20000365,15,16,30,57,16,7,7,22,13
N20000366,13,11,22,38,24,3,10,25,12
N20000367,23,32,30,58,31,6,11,22,11
N20000368,17,34,34,61,12,30,4,8,31
N20000369,21,16,33,77,22,8,15,20,7
N20000370,2,16,15,43,21,16,5,4,6
N20000371,41,42,22,39,18,42,34,13,8
N20000372,14,12,25,67,24,25,19,13,10
N20000373,42,38,29,48,13,35,25,10,5
N20000374,34,32,13,12,19,15,14,24,7
N20000375,12,46,4,17,4,35,7,7,7
N20000376,14,27,4,13,7,19,10,2,12
N20000377,32,58,31,33,9,23,10,20,9
N20000378,27,25,12,36,25,6,7,4,10
N20000379,32,50,14,35,19,30,26,13,29
N20000380,2,21,7,40,3,18,5,1,6
N20000381,6,13,17,54,19,30,9,6,23
