dz_2021_code,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20001174,32,30,33,68,15,9,6,24,6
N20001175,21,29,21,34,11,6,4,16,10
N20001176,32,12,20,37,21,3,7,26,6
N20001177,27,18,27,38,21,4,3,37,10
N20001178,25,13,37,50,28,2,4,39,6
N20001179,12,78,44,7,3,6,3,2,12
N20001180,9,15,19,20,23,3,1,15,3
N20001181,27,45,27,18,4,2,5,8,12
N20001182,20,13,35,47,19,7,6,20,6
N20001183,18,23,33,34,18,8,7,22,10
N20001184,30,101,66,51,14,15,19,27,23
N20001185,19,23,32,45,23,3,8,30,9
N20001186,35,73,59,31,15,8,7,25,15
N20001187,49,13,20,15,9,1,3,19,5
N20001188,37,27,35,26,8,2,4,17,8
N20001189,35,12,15,40,24,6,10,33,5
N20001190,28,14,26,34,38,4,14,32,2
N20001191,11,19,33,55,11,2,6,20,5
N20001192,22,18,26,39,36,8,11,31,5
N20001193,27,22,21,33,12,3,4,13,10
N20001194,24,20,24,25,8,24,9,11,4
N20001195,38,44,42,62,25,10,14,31,12
N20001196,16,21,24,45,13,0,6,31,1
N20001197,21,17,31,34,26,6,7,27,7
N20001198,33,12,21,50,22,4,7,35,1
N20001199,55,21,27,49,19,9,7,41,5
N20001200,34,22,24,42,12,3,8,21,6
N20001201,23,29,37,51,11,14,6,12,9
N20001202,22,40,24,35,13,12,13,10,7
N20001203,21,21,20,45,15,15,11,11,12
N20001204,22,19,22,54,25,3,8,24,3
N20001205,42,42,15,34,11,10,10,9,5
N20001206,21,42,11,2,0,14,6,7,3
N20001207,23,52,10,15,6,20,16,11,7
N20001208,39,51,12,28,17,50,17,11,16
N20001209,34,45,17,28,10,8,0,17,3
N20001210,14,32,28,45,18,22,21,9,7
N20001211,34,57,31,27,12,17,18,15,10
N20001212,12,4,21,25,16,0,3,20,2
N20001213,21,46,17,30,8,11,9,9,5
N20001214,26,71,33,19,8,29,16,10,10
N20001215,52,45,41,53,21,20,19,27,10
N20001216,15,29,16,29,8,8,7,11,4
N20001217,34,62,50,41,17,10,15,19,12
N20001218,24,19,26,46,8,1,4,19,3
N20001219,24,19,28,46,9,13,10,21,2
N20001220,39,25,38,51,10,5,16,35,10
N20001221,31,34,31,38,11,11,9,18,11
N20001222,19,60,13,23,11,29,10,11,3
N20001223,43,86,35,39,16,35,13,24,7
N20001224,48,75,28,19,8,24,10,8,3
N20001225,13,24,12,21,7,10,8,9,3
N20001226,52,8,14,35,22,3,2,43,4
N20001227,26,104,10,7,6,11,15,4,5
N20001228,63,48,18,12,10,12,16,16,6
N20001229,45,54,24,30,15,14,10,13,7
N20001230,30,12,30,66,23,3,10,55,5
N20001231,26,35,44,44,15,6,8,27,13
N20001232,33,47,40,58,9,29,13,17,11
N20001233,23,15,33,38,29,5,11,29,5
N20001234,14,57,36,57,7,10,9,8,5
N20001235,38,33,5,8,9,13,26,11,13
N20001236,19,52,26,49,44,30,19,20,11
N20001237,19,18,12,22,36,15,16,29,9
N20001238,34,11,11,10,16,3,11,25,7
N20001239,9,21,11,18,18,114,13,5,13
N20001240,17,58,15,23,12,48,29,13,12
N20001241,15,40,18,36,29,48,25,7,11
N20001242,24,88,12,18,11,72,52,13,21
N20001243,22,51,18,29,19,73,32,11,18
N20001244,44,35,45,43,44,10,32,60,16
N20001245,33,17,23,22,25,8,11,27,12
N20001246,46,25,33,48,42,13,20,54,11
N20001247,46,23,23,27,27,13,15,25,8
N20001248,31,51,4,10,4,71,11,4,14
N20001249,39,85,35,45,15,34,13,14,21
N20001250,7,18,20,25,28,20,9,8,11
N20001251,40,33,28,46,41,16,24,30,13
N20001252,13,27,14,21,19,50,35,13,10
N20001253,16,53,38,66,29,33,30,11,7
N20001254,10,29,22,51,30,26,19,12,4
N20001255,15,44,14,30,20,80,30,8,22
N20001256,15,35,23,16,23,34,13,7,14
N20001257,6,37,13,25,20,58,35,4,10
N20001258,16,24,56,63,87,12,24,33,18
N20001259,24,34,26,42,29,41,24,33,13
N20001260,11,21,24,57,15,12,10,20,8
N20001261,10,59,16,31,27,85,48,0,27
N20001262,17,42,11,13,11,46,28,6,14
N20001263,10,35,7,18,12,70,28,8,18
N20001264,17,32,44,68,55,7,19,27,7
N20001265,23,17,29,37,32,9,19,22,12
N20001266,21,45,13,19,20,66,19,4,15
N20001267,1,31,12,72,19,27,9,0,5
N20001268,2,20,7,17,5,110,26,5,11
N20001269,40,79,11,12,5,38,22,10,13
N20001270,13,66,8,10,8,34,15,10,9
N20001271,21,17,25,47,18,9,9,22,6
N20001272,15,36,9,22,21,63,42,8,21
N20001273,2,25,17,55,3,20,2,4,4
N20001274,13,53,13,14,16,38,23,8,5
N20001275,18,45,31,28,15,13,10,16,4
N20001276,29,52,6,18,12,54,24,11,9
N20001277,12,32,17,47,25,66,29,2,20
N20001278,7,33,15,67,9,35,9,1,12
N20001279,1,27,28,80,13,28,7,4,8
N20001280,15,71,36,13,6,12,4,8,6
N20001281,10,53,33,25,3,15,5,2,6
N20001282,8,16,21,38,26,30,17,3,8
N20001283,24,35,8,9,7,29,22,14,13
N20001284,0,35,23,80,12,40,11,3,6
N20001285,43,42,11,22,10,18,9,9,4
N20001286,5,16,2,12,6,60,9,3,5
N20001287,24,39,7,19,10,27,22,12,13
N20001288,17,61,16,17,10,47,19,16,14
N20001289,34,54,8,28,4,20,14,13,10
N20001290,8,35,41,104,60,40,28,22,23
N20001291,4,21,13,67,7,50,14,1,6
N20001292,26,61,48,49,13,26,9,13,7
N20001293,18,28,5,13,13,35,25,11,9
N20001294,22,12,21,18,7,2,6,16,0
N20001295,25,43,7,17,9,30,16,6,5
N20001296,30,26,40,28,12,5,6,20,5
N20001297,15,27,8,19,18,38,19,3,11
N20001298,22,31,9,23,14,55,41,15,22
N20001299,11,42,6,14,6,62,30,11,13
N20001300,16,61,10,15,15,84,36,4,15
N20001301,25,40,12,22,14,66,48,24,28
N20001302,25,51,6,7,18,30,35,11,25
N20001303,20,41,20,18,12,34,28,19,15
N20001304,27,54,8,6,7,73,32,4,13
N20001305,21,49,4,11,10,61,23,9,23
N20001306,6,20,4,7,11,20,20,7,12
N20001307,16,58,17,21,10,66,11,13,26
N20001308,29,41,21,43,43,40,39,24,26
N20001309,17,25,26,69,41,30,29,27,21
N20001310,16,27,14,16,19,45,40,13,29
N20001311,15,66,18,11,8,36,8,3,16
N20001312,23,37,20,22,9,32,13,12,14
N20001313,13,50,12,11,17,43,36,12,19
N20001314,22,58,11,18,12,54,46,22,26
N20001315,16,50,18,26,7,34,15,9,23
N20001316,8,23,14,12,10,64,18,6,5
N20001317,20,50,10,14,10,34,48,9,23
N20001318,29,43,31,20,19,21,16,19,11
N20001319,10,55,12,8,10,30,19,9,7
N20001320,31,43,5,9,10,34,35,15,17
N20001321,29,55,21,29,13,36,26,12,18
N20001322,22,54,15,20,8,38,25,14,10
N20001323,18,47,6,4,13,23,23,10,15
N20001324,15,60,12,22,5,65,20,10,6
N20001325,24,70,10,17,23,56,49,13,34
N20001326,25,53,17,28,17,50,34,14,22
N20001327,18,15,14,30,28,7,13,15,15
N20001328,38,66,14,20,11,59,34,12,12
N20001329,32,29,9,17,7,20,8,10,7
N20001330,21,37,17,22,24,17,8,8,11
N20001331,31,30,26,40,15,11,18,19,12
N20001332,1,30,5,17,4,80,18,1,6
N20001333,24,38,22,31,28,9,11,10,8
N20001334,42,30,30,40,33,27,24,31,15
N20001335,13,36,20,24,10,9,8,7,9
N20001336,49,46,10,4,0,20,10,10,6
N20001337,50,23,10,26,20,9,13,12,14
N20001338,19,35,9,12,6,42,14,4,12
N20001339,35,39,31,28,48,21,20,32,18
N20001340,28,24,23,29,15,19,11,16,12
N20001341,3,30,5,22,10,28,16,3,5
N20001342,25,35,23,32,27,24,17,22,14
N20001343,26,41,11,19,12,28,16,19,14
N20001344,11,47,11,8,11,24,22,6,11
N20001345,21,33,11,33,17,20,25,16,14
N20001346,30,49,16,20,14,28,28,8,24
N20001347,92,45,6,4,3,3,5,36,5
N20001348,22,43,5,20,10,37,24,11,10
N20001349,15,42,16,22,18,17,17,13,13
N20001350,21,33,22,24,18,12,14,24,13
N20001351,10,28,23,31,16,65,24,5,14
N20001352,23,57,15,18,16,38,19,12,12
N20001353,10,25,10,15,9,15,17,12,8
N20001354,35,71,18,13,20,14,19,20,12
N20001355,33,54,19,23,20,16,23,12,15
N20001356,32,44,10,31,23,53,28,20,20
N20001357,27,48,15,19,14,20,17,17,8
N20001358,21,57,10,22,21,34,33,13,22
N20001359,25,46,15,23,20,44,24,18,13
N20001360,5,38,12,33,22,24,10,3,8
N20001361,34,36,14,39,27,15,19,27,9
N20001362,24,26,14,34,25,15,22,22,12
N20001363,31,78,18,18,21,39,44,19,16
N20001364,42,34,30,30,31,15,30,18,14
N20001365,13,111,13,21,2,50,22,4,10
N20001366,36,23,12,26,14,14,27,15,13
N20001367,28,25,11,27,13,10,20,21,11
N20001368,17,27,9,12,13,8,12,11,2
N20001369,22,45,13,15,8,62,24,8,7
N20001370,14,72,14,17,10,55,24,18,12
N20001371,28,19,31,37,20,8,10,24,9
N20001372,18,48,12,11,9,35,16,6,5
N20001373,32,28,34,23,28,40,19,20,12
N20001374,35,23,17,35,22,16,14,19,9
N20001375,32,62,31,23,20,52,19,27,6
N20001376,28,29,6,6,2,24,3,5,6
N20001377,44,83,8,1,1,34,6,8,4
N20001378,17,51,25,26,8,45,13,14,14
N20001379,24,91,27,13,17,30,20,18,15
N20001380,31,36,53,57,32,14,12,25,7
N20001381,44,88,33,31,13,82,23,24,19
N20001382,47,37,16,13,20,17,10,18,22
N20001383,17,52,18,24,16,67,24,10,10
N20001384,38,85,23,9,17,63,26,15,19
N20001385,41,76,21,10,6,24,13,11,7
N20001386,17,9,34,30,20,5,8,17,11
N20001387,29,50,22,9,13,47,22,6,3
N20001388,2,16,24,54,23,13,9,6,12
N20001389,25,74,3,22,11,72,22,5,14
N20001390,19,36,29,29,23,57,12,10,18
N20001391,25,18,27,40,20,10,9,24,7
N20001392,22,16,33,36,23,11,8,12,5
N20001393,40,38,6,4,3,12,10,8,5
N20001394,13,79,19,9,9,25,7,10,10
N20001395,30,45,12,7,8,29,15,9,4
N20001396,38,60,14,14,4,43,19,8,1
N20001397,38,82,18,12,4,26,14,13,10
N20001398,44,69,13,11,6,33,10,11,8
N20001399,61,82,9,13,16,61,27,15,12
N20001400,13,60,10,6,5,23,10,10,3
N20001401,51,117,52,25,16,38,17,26,16
N20001402,6,73,44,51,11,30,6,13,11
N20001403,22,42,10,12,9,25,15,6,1
N20001404,30,69,36,18,13,21,10,12,9
N20001405,32,60,12,18,11,49,23,15,15
N20001406,40,69,13,9,2,23,13,6,8
N20001407,19,49,13,7,1,50,9,8,9
N20001408,9,55,10,10,9,50,9,4,4
N20001409,13,29,11,11,7,17,13,9,2
N20001410,43,42,4,8,9,22,15,13,4
N20001411,22,33,15,25,9,38,19,10,12
N20001412,29,33,9,10,7,23,15,5,3
N20001413,24,53,24,22,17,68,23,9,14
N20001414,27,56,12,10,4,29,13,7,10
N20001415,21,58,6,10,5,37,10,7,7
N20001416,30,61,17,14,7,44,23,13,9
N20001417,19,42,10,20,8,36,20,5,6
N20001418,29,93,35,17,4,13,13,14,21
N20001419,19,30,4,9,15,32,29,13,19
N20001420,14,29,11,10,7,39,15,4,9
N20001421,17,39,7,14,9,46,13,6,10
N20001422,15,47,15,28,4,23,12,6,7
N20001423,25,69,7,5,4,24,10,2,2
N20001424,26,76,25,30,15,64,19,13,7
N20001425,3,58,34,14,0,9,8,7,10
N20001426,12,41,4,8,7,55,16,6,12
N20001427,49,68,16,29,11,56,24,7,17
N20001428,29,97,18,12,12,52,20,14,25
N20001429,15,49,7,8,6,77,37,7,22
N20001430,17,55,19,11,5,16,14,5,10
N20001431,39,54,6,4,3,42,7,10,4
N20001432,13,36,3,2,13,32,18,4,8
N20001433,29,40,4,3,4,55,26,8,16
N20001434,23,89,8,8,9,17,22,9,9
N20001435,8,44,4,13,4,62,5,2,3
N20001436,16,24,12,14,14,21,26,10,13
N20001437,17,56,7,9,6,42,33,9,14
N20001438,13,36,6,7,5,40,24,6,15
N20001439,24,66,23,27,8,45,22,18,22
N20001440,23,43,14,11,10,36,24,10,11
N20001441,14,59,19,22,9,45,21,19,23
N20001442,15,29,11,20,33,26,27,13,15
N20001443,11,69,13,19,5,19,18,11,9
N20001444,30,68,8,9,13,65,45,9,19
N20001445,12,62,9,11,6,30,14,8,22
N20001446,20,17,23,50,22,8,10,29,8
N20001447,7,78,25,31,4,30,2,2,3
N20001448,4,49,13,15,2,27,4,4,9
N20001449,24,37,28,27,16,21,22,17,9
N20001450,19,35,26,42,31,25,17,22,6
N20001451,20,23,12,14,12,22,15,16,2
N20001452,6,56,25,61,10,31,9,11,6
N20001453,6,22,34,42,20,26,12,5,5
N20001454,31,31,28,31,26,18,22,16,8
N20001455,15,21,20,21,17,11,13,13,5
N20001456,11,39,24,60,10,37,21,13,11
N20001457,13,9,18,46,25,4,14,29,6
N20001458,22,27,33,43,27,7,6,22,9
N20001459,44,39,69,77,38,23,23,28,9
N20001460,15,16,17,36,19,4,8,19,8
N20001461,26,9,25,50,28,3,8,19,13
N20001462,17,29,28,48,32,21,19,26,9
N20001463,13,10,16,31,13,11,12,6,2
N20001464,9,13,17,58,22,7,7,17,4
N20001465,12,10,17,55,35,11,5,22,11
N20001466,19,26,32,78,30,13,8,43,20
N20001467,8,19,15,36,8,6,11,13,2
N20001468,24,36,27,67,29,24,20,11,5
N20001469,32,31,29,67,26,19,14,20,5
N20001470,9,36,6,25,11,21,12,7,4
N20001471,27,34,18,13,20,17,13,11,6
N20001472,19,23,14,43,27,14,5,10,8
N20001473,19,49,26,55,30,21,18,9,8
N20001474,39,59,10,9,10,24,7,11,8
N20001475,16,12,19,63,17,19,12,16,1
N20001476,15,21,28,59,11,20,10,7,3
N20001477,14,22,26,67,29,16,8,20,9
N20001478,21,18,28,58,30,8,8,19,13
N20001479,23,31,22,74,30,27,15,20,4
N20001480,23,16,21,38,32,4,5,14,6
N20001481,25,31,24,53,28,20,22,32,9
N20001482,28,23,45,59,36,10,18,40,11
N20001483,33,23,17,28,17,10,13,15,7
N20001484,21,15,40,48,22,8,14,27,8
N20001485,25,27,37,38,21,5,9,24,3
N20001486,37,78,21,18,7,18,14,7,8
N20001487,38,31,22,25,15,2,9,40,6
N20001488,32,48,5,4,4,13,6,4,6
N20001489,49,32,50,39,39,19,14,50,5
N20001490,46,74,15,16,9,15,9,13,6
N20001491,7,13,32,88,26,19,9,10,12
N20001492,7,28,27,56,3,32,4,7,1
N20001493,32,39,10,16,2,14,8,15,6
N20001494,33,15,20,37,15,13,11,41,6
N20001495,16,43,13,8,12,20,16,8,4
N20001496,27,51,8,10,6,18,8,9,3
N20001497,13,11,29,60,34,12,6,17,6
N20001498,31,41,19,21,17,32,10,17,10
N20001499,22,41,11,14,9,30,12,9,4
N20001500,16,66,3,12,5,14,6,2,3
N20001501,13,35,35,69,11,46,21,14,10
N20001502,31,55,13,27,10,29,21,13,10
N20001503,14,18,24,41,26,7,15,17,1
N20001504,26,72,9,20,15,58,26,20,7
N20001505,47,24,35,48,26,18,6,34,4
N20001506,22,34,32,30,21,25,20,8,5
N20001507,32,56,15,18,22,47,16,21,6
N20001508,15,41,53,69,30,23,9,21,8
N20001509,16,51,22,23,16,30,19,13,2
N20001510,38,38,39,29,27,18,12,30,5
N20001511,21,25,33,56,38,4,8,39,9
N20001512,17,18,21,48,16,11,5,18,7
N20001513,14,27,30,56,27,13,6,17,7
N20001514,62,57,60,41,32,11,12,66,7
N20001515,45,27,36,24,16,17,12,26,5
N20001516,24,39,47,57,27,22,14,23,3
N20001517,22,30,33,22,16,2,9,12,6
N20001518,21,28,70,69,36,29,13,57,6
N20001519,22,23,13,23,10,22,9,4,9
N20001520,20,19,56,53,37,11,10,44,4
N20001521,27,18,33,45,27,13,15,35,4
N20001522,18,13,31,25,15,6,5,18,5
N20001523,17,42,21,29,9,22,17,18,8
N20001524,11,53,33,51,6,30,9,13,10
N20001525,15,16,35,56,22,6,11,19,10
N20001526,22,29,30,39,27,4,9,20,7
N20001527,28,7,42,61,39,7,15,36,7
N20001528,22,24,43,66,27,11,10,33,11
N20001529,16,13,38,34,19,6,3,26,5
N20001530,36,20,47,75,27,7,18,35,14
N20001531,20,10,18,20,15,11,8,9,5
N20001532,22,22,18,57,28,11,8,26,10
N20001533,17,17,33,28,17,2,7,25,6
N20001534,20,14,23,37,22,8,7,16,4
N20001535,22,20,17,20,8,14,9,7,4
N20001536,50,24,22,28,17,10,14,13,1
N20001537,40,47,22,40,16,25,11,20,9
N20001538,22,14,18,69,19,7,5,9,5
N20001539,24,18,43,69,43,4,15,32,8
N20001540,19,37,28,59,9,28,10,7,6
N20001541,23,37,25,37,15,17,6,12,8
N20001542,28,19,29,89,43,6,11,40,15
N20001543,60,47,45,50,23,30,26,21,7
N20001544,15,28,17,63,21,14,8,19,11
N20001545,14,14,20,51,21,7,7,18,8
N20001546,7,9,10,35,17,3,4,15,6
N20001547,31,75,34,42,30,60,28,20,14
N20001548,22,39,31,28,12,17,7,16,21
N20001549,27,43,29,29,16,20,16,14,9
N20001550,19,56,17,28,11,40,12,12,8
N20001551,16,31,19,21,15,22,4,14,3
N20001552,12,30,34,35,19,20,8,8,10
N20001553,15,78,23,38,16,77,25,16,14
N20001554,40,55,21,18,20,33,21,24,3
N20001555,31,50,38,25,22,16,14,35,8
N20001556,5,28,31,39,5,11,2,2,5
N20001557,17,22,31,74,21,22,9,13,11
N20001558,43,10,35,47,25,11,5,42,3
N20001559,17,28,16,25,8,41,22,8,9
N20001560,25,13,43,39,17,10,7,52,4
N20001561,35,50,23,27,13,21,20,18,12
N20001562,39,45,23,24,7,8,5,18,9
N20001563,28,39,14,31,15,48,23,16,5
N20001564,18,45,17,22,13,36,15,13,6
N20001565,30,66,28,27,10,19,13,23,7
N20001566,33,41,19,14,10,16,15,8,6
N20001567,112,107,27,15,5,13,8,17,9
N20001568,40,68,29,24,17,21,10,22,5
N20001569,9,18,30,43,17,8,2,13,2
N20001570,43,105,27,29,10,16,10,22,9
N20001571,75,48,6,3,4,3,4,2,2
N20001572,15,61,24,33,13,20,12,17,5
N20001573,23,39,36,33,21,21,20,25,6
N20001574,30,73,14,35,11,48,30,13,19
N20001575,36,45,21,35,14,16,9,6,10
N20001576,38,47,35,17,3,18,9,14,15
N20001577,23,10,20,16,16,3,6,26,3
N20001578,14,74,7,11,6,27,14,6,6
N20001579,19,50,14,15,3,19,6,6,4
N20001580,11,35,34,48,24,27,7,10,7
N20001581,42,42,18,22,22,20,25,17,6
N20001582,23,28,19,41,10,9,6,29,3
N20001583,17,29,62,34,18,6,5,24,3
N20001584,32,19,26,24,16,3,11,40,0
N20001585,19,27,37,60,18,13,6,11,4
N20001586,24,36,33,30,22,16,7,14,8
N20001587,11,47,42,81,13,50,15,6,3
N20001588,24,33,22,28,15,14,8,13,8
N20001589,36,46,42,36,30,26,21,46,5
N20001590,38,26,38,30,12,6,15,42,9
N20001591,43,37,40,46,29,15,15,27,8
N20001592,2,37,29,49,11,14,5,10,6
N20001593,10,12,30,47,41,9,11,23,7
N20001594,35,32,43,33,27,1,8,59,7
N20001595,10,20,15,21,15,24,9,13,5
N20001596,24,16,35,62,35,6,2,38,9
N20001597,45,38,55,45,30,11,17,41,18
N20001598,38,33,24,10,13,9,7,32,6
N20001599,35,86,33,9,5,6,8,19,12
N20001600,20,46,9,15,5,29,12,4,4
N20001601,53,39,24,16,12,15,9,19,5
N20001602,46,34,26,13,12,5,5,39,4
N20001603,76,64,22,9,11,7,16,25,6
N20001604,36,117,38,29,4,8,4,29,9
N20001605,23,26,27,22,8,20,17,10,2
N20001606,22,17,18,12,12,4,4,23,4
N20001607,51,42,25,19,15,15,12,30,9
N20001608,25,46,23,16,8,19,16,9,4
N20001609,11,26,25,38,10,8,4,5,1
N20001610,44,36,37,42,19,12,10,32,7
N20001611,59,31,42,31,27,12,4,42,4
N20001612,12,76,15,21,6,41,22,10,10
N20001613,27,19,46,47,28,7,10,43,6
N20001614,40,45,26,20,18,28,21,21,6
N20001615,19,43,44,72,18,29,11,8,8
N20001616,41,37,41,32,24,16,16,43,5
N20001617,29,16,42,46,18,1,10,27,6
N20001618,17,38,41,56,14,8,6,20,4
N20001619,23,16,29,32,14,7,8,20,4
N20001620,29,26,27,22,11,18,10,16,4
N20001621,50,92,34,16,6,9,7,29,25
N20001622,37,60,23,21,15,18,22,15,5
N20001623,26,40,44,41,14,13,5,26,5
N20001624,31,21,31,26,21,5,4,39,9
N20001625,16,18,13,20,14,4,5,14,3
N20001626,70,73,31,16,16,17,15,14,13
N20001627,31,30,45,50,30,9,13,46,9
N20001628,22,11,18,22,9,3,6,22,4
N20001629,79,39,11,7,7,6,8,21,7
N20001630,7,24,18,24,4,13,11,12,46
N20001631,30,29,29,36,13,11,11,29,11
N20001632,57,41,39,29,28,11,11,52,4
N20001633,0,31,8,19,1,18,7,1,90
N20001634,29,27,42,41,35,9,10,35,18
N20001635,25,53,52,43,15,19,8,30,18
N20001636,19,26,30,36,26,18,14,20,4
N20001637,32,15,33,45,21,6,7,43,3
N20001638,9,49,40,54,19,23,11,18,20
N20001639,28,43,36,47,25,15,6,16,8
N20001640,18,12,18,28,25,4,2,16,11
N20001641,9,17,15,22,12,1,2,15,8
N20001642,30,39,27,30,13,38,32,12,2
N20001643,15,20,24,26,23,4,9,17,5
N20001644,29,37,51,70,26,23,15,26,6
N20001645,25,23,31,49,23,5,12,20,6
N20001646,9,14,15,31,7,10,6,12,5
N20001647,25,28,37,45,31,8,8,30,5
N20001648,17,14,28,25,11,6,5,15,5
N20001649,14,20,23,29,14,16,4,18,5
N20001650,17,13,24,32,17,7,9,18,1
N20001651,20,14,12,10,1,5,3,5,3
N20001652,29,36,28,33,27,12,11,25,8
N20001653,41,24,38,54,27,7,18,50,6
N20001654,13,28,12,18,5,20,9,7,2
N20001655,27,29,37,40,20,8,14,32,16
N20001656,28,35,29,79,27,33,14,26,9
N20001657,26,43,12,18,10,4,5,16,5
N20001658,22,21,41,43,31,4,17,30,10
N20001659,41,57,20,18,7,11,8,30,4
N20001660,35,46,44,89,24,43,21,23,13
N20001661,37,47,19,20,11,13,5,14,5
N20001662,49,66,11,23,9,30,22,15,6
N20001663,33,90,27,20,24,35,37,16,10
N20001664,21,22,19,34,16,5,7,18,6
N20001665,40,30,28,49,27,11,12,23,4
N20001666,23,32,33,48,20,9,13,17,7
N20001667,26,32,17,31,18,12,14,25,5
N20001668,24,36,22,63,33,7,13,27,6
N20001669,14,32,37,43,12,17,15,17,8
N20001670,10,7,20,39,15,10,4,18,7
N20001671,23,38,20,22,16,24,15,11,7
N20001672,33,25,31,58,26,20,13,18,8
N20001673,35,26,31,42,20,10,17,25,11
N20001674,19,20,45,62,24,4,11,28,15
N20001675,25,25,17,53,30,5,14,34,11
N20001676,20,35,31,59,17,10,9,16,5
N20001677,39,32,14,14,15,7,10,13,7
N20001678,16,15,22,59,28,10,8,18,8
N20001679,13,19,14,36,20,8,9,18,3
N20001680,34,29,26,40,24,9,16,29,10
N20001681,17,27,18,60,20,19,7,13,1
N20001682,26,35,22,24,11,23,12,12,3
N20001683,24,27,24,62,56,10,14,34,16
N20001684,28,31,34,75,27,8,10,30,12
N20001685,32,24,42,51,33,10,18,35,7
N20001686,31,22,44,54,39,9,6,46,5
N20001687,23,40,32,56,14,27,12,13,10
N20001688,14,24,34,40,19,17,6,13,0
N20001689,36,39,35,48,26,13,11,33,10
N20001690,24,24,27,20,12,16,14,18,2
N20001691,29,21,22,25,15,16,9,35,5
N20001692,28,34,47,53,32,14,13,14,11
N20001693,36,70,27,37,18,58,15,12,2
N20001694,23,49,16,17,9,14,7,3,6
N20001695,28,53,21,18,22,19,17,16,5
N20001696,24,42,53,40,15,12,16,30,4
N20001697,19,22,30,46,18,14,7,22,7
N20001698,24,107,27,23,7,18,14,15,7
N20001699,25,32,27,41,17,14,9,29,5
N20001700,84,86,13,13,6,9,12,19,6
N20001701,21,72,11,22,9,29,16,10,7
N20001702,36,33,34,79,27,39,14,28,7
N20001703,21,30,5,9,7,11,8,9,4
N20001704,38,31,16,18,15,10,13,10,1
N20001705,27,21,29,37,28,9,10,22,7
N20001706,59,32,31,24,21,8,8,20,15
N20001707,30,37,30,29,11,14,17,12,5
N20001708,8,43,35,67,13,17,7,14,1
N20001709,9,38,50,60,3,24,11,7,3
N20001710,17,39,49,90,23,24,10,14,6
N20001711,26,18,22,32,14,7,6,19,0
N20001712,23,25,26,36,27,4,9,20,8
N20001713,8,22,36,60,15,28,10,11,9
N20001714,15,14,25,45,19,5,3,17,6
N20001715,26,26,39,78,46,10,20,31,13
N20001716,29,36,40,91,42,13,18,35,12
N20001717,13,10,14,29,9,6,6,16,4
N20001718,22,26,14,18,16,11,16,9,2
N20001719,13,19,22,65,26,19,5,9,5
N20001720,23,28,31,78,40,11,15,22,10
N20001721,23,51,44,45,22,23,18,13,4
N20001722,23,20,28,78,48,10,11,22,12
N20001723,40,52,41,52,24,30,19,20,8
N20001724,20,21,19,61,21,14,9,10,8
N20001725,20,16,25,64,22,3,8,29,10
N20001726,27,15,32,60,23,6,12,22,13
N20001727,11,19,24,56,32,8,9,20,10
N20001728,18,39,19,17,17,15,13,9,4
N20001729,27,45,37,65,24,31,16,17,17
N20001730,14,9,14,31,10,1,0,15,4
N20001731,26,18,31,60,28,8,12,31,15
N20001732,4,48,22,50,4,43,9,4,10
N20001733,10,17,38,56,74,6,13,18,23
N20001734,24,44,12,17,15,32,23,13,21
N20001735,21,38,15,16,18,20,19,15,16
N20001736,23,70,22,27,22,32,22,15,21
N20001737,36,53,11,8,10,8,8,14,12
N20001738,23,42,17,17,12,23,12,15,21
N20001739,23,33,13,24,22,34,25,25,30
N20001740,27,41,22,23,23,14,19,23,13
N20001741,45,92,3,3,6,27,17,9,8
N20001742,24,28,15,19,24,30,26,8,21
N20001743,21,138,11,4,2,3,1,11,5
N20001744,12,24,2,16,15,31,22,8,16
N20001745,35,118,14,4,3,20,16,11,7
N20001746,41,38,12,15,7,18,15,13,14
N20001747,49,37,4,14,14,47,24,12,11
N20001748,17,61,19,22,17,30,10,8,15
N20001749,6,12,5,14,9,35,13,5,12
N20001750,65,71,5,0,2,9,6,6,3
N20001751,28,86,14,13,12,37,24,14,16
N20001752,10,30,5,12,7,58,27,11,14
N20001753,33,91,17,24,24,31,26,18,28
N20001754,15,61,10,15,4,23,17,6,5
N20001755,12,57,10,12,15,55,29,11,6
N20001756,29,163,14,4,3,8,4,9,8
N20001757,5,23,3,25,13,119,23,5,14
N20001758,34,61,7,10,4,43,22,13,15
N20001759,24,47,12,9,9,37,26,10,21
N20001760,23,61,17,15,14,37,21,9,12
N20001761,37,124,17,18,12,26,24,13,18
N20001762,38,78,21,39,40,61,36,28,24
N20001763,4,41,7,19,2,90,20,4,5
N20001764,26,68,24,25,22,30,23,20,16
N20001765,30,53,16,13,16,28,21,12,21
N20001766,31,96,8,14,10,19,19,3,6
N20001767,16,26,34,52,28,26,24,23,25
N20001768,14,24,10,28,14,16,10,10,9
N20001769,43,29,52,51,69,9,15,50,24
N20001770,25,59,14,18,17,64,23,14,12
N20001771,31,17,26,33,34,0,11,52,12
N20001772,29,16,19,29,32,2,10,37,13
N20001773,12,59,11,19,14,56,20,5,9
N20001774,13,54,12,30,9,55,21,12,17
