dz_2021_code,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000312,29,65,138,21,443
N20000313,9,31,110,10,277
N20000314,13,25,61,11,245
N20000315,16,36,92,23,345
N20000316,14,35,115,7,327
N20000317,28,69,183,28,403
N20000318,20,37,157,10,304
N20000319,10,18,70,5,157
N20000320,19,51,102,14,324
N20000321,18,29,73,2,207
N20000322,18,38,67,8,342
N20000323,18,16,62,5,130
N20000324,6,27,93,13,223
N20000325,14,31,128,13,225
N20000326,28,56,135,12,298
N20000327,27,61,107,13,333
N20000328,14,17,77,6,211
N20000329,38,81,217,26,448
N20000330,25,43,110,9,375
N20000331,35,66,158,33,281
N20000332,30,45,140,19,265
N20000333,22,37,102,17,311
N20000334,28,56,142,21,322
N20000335,16,31,139,19,183
N20000336,16,51,142,23,234
N20000337,18,48,173,18,224
N20000338,20,29,113,42,202
N20000339,29,56,133,34,310
N20000340,25,44,156,58,260
N20000341,37,72,190,41,338
N20000342,13,42,107,13,241
N20000343,26,59,189,46,352
N20000344,31,51,161,46,295
N20000345,37,53,156,33,293
N20000346,36,64,167,46,344
N20000347,25,28,132,49,284
N20000348,30,56,118,15,306
N20000349,17,37,100,9,308
N20000350,38,56,151,17,368
N20000351,24,30,106,11,260
N20000352,19,55,152,15,339
N20000353,16,54,130,33,278
N20000354,42,86,215,53,340
N20000355,27,50,137,39,273
N20000356,22,71,205,34,367
N20000357,21,32,119,28,192
N20000358,27,57,154,36,288
N20000359,22,53,175,23,283
N20000360,24,32,111,35,201
N20000361,33,56,212,50,318
N20000362,26,60,188,26,349
N20000363,21,49,132,33,255
N20000364,29,58,132,51,289
N20000365,25,43,145,37,289
N20000366,29,54,115,36,233
N20000367,29,65,175,45,282
N20000368,25,62,219,19,342
N20000369,25,74,206,39,311
N20000370,26,43,140,7,202
N20000371,26,50,132,9,392
N20000372,25,63,203,19,342
N20000373,16,59,140,6,359
N20000374,17,31,75,8,235
N20000375,6,24,39,6,251
N20000376,5,17,69,0,186
N20000377,19,38,156,11,250
N20000378,20,36,126,12,216
N20000379,25,56,164,5,406
N20000380,11,34,104,7,231
N20000381,22,62,156,18,318
N20000382,23,55,165,11,335
N20000383,49,45,178,46,337
N20000384,32,73,177,28,339
N20000385,10,31,71,6,226
N20000386,14,46,134,11,234
N20000387,6,26,68,8,185
N20000388,17,30,76,9,251
N20000389,32,63,210,19,377
N20000390,10,26,122,9,271
N20000391,16,18,57,5,179
N20000392,19,52,114,15,337
N20000393,9,26,143,14,270
N20000394,16,21,78,4,191
N20000395,13,44,203,39,245
N20000396,14,41,95,0,278
N20000397,32,55,183,22,423
N20000398,11,41,158,5,242
N20000399,23,27,102,7,280
N20000400,10,39,165,21,223
N20000401,27,51,176,52,329
N20000402,21,66,273,17,410
N20000403,12,36,172,8,234
N20000404,26,43,172,21,367
N20000405,15,39,144,15,282
N20000406,7,13,72,12,188
N20000407,14,26,115,15,233
N20000408,14,29,84,13,179
N20000409,10,8,41,3,176
N20000410,9,35,102,6,201
N20000411,16,41,194,15,260
N20000412,21,39,179,18,267
N20000413,22,75,220,21,369
N20000414,12,52,153,23,231
N20000415,19,41,179,15,191
N20000416,26,63,193,49,310
N20000417,26,73,183,19,278
N20000418,24,56,207,68,360
N20000419,26,32,115,41,270
N20000420,27,45,121,29,251
N20000421,20,72,229,37,354
N20000422,45,85,264,47,355
N20000423,45,68,230,34,401
N20000424,42,69,265,35,383
N20000425,12,30,101,10,165
N20000426,20,62,185,17,264
N20000427,36,59,158,13,327
N20000428,37,93,268,21,434
N20000429,26,34,90,8,210
N20000430,17,55,145,24,214
N20000431,17,43,80,8,372
N20000432,14,42,89,9,424
N20000433,31,65,256,21,346
N20000434,17,43,116,12,425
N20000435,32,67,208,24,368
N20000436,17,57,197,18,194
N20000437,16,28,74,7,243
