dz_2021_code,white,irish_traveller,roma,indian,chinese,filipino,pakistani,arab,other_asian,black_african,black_other,mixed,other_ethnicities
N20000245,388,0,1,9,1,0,0,0,0,0,0,0,0
N20000246,531,0,0,10,0,0,0,0,0,0,0,4,0
N20000247,434,0,0,8,0,1,0,0,3,0,0,8,0
N20000248,268,0,0,0,0,0,0,0,1,0,0,1,0
N20000249,336,0,0,10,1,0,0,1,0,0,0,5,0
N20000250,382,0,0,0,0,6,0,0,0,0,0,2,0
N20000251,703,0,2,0,0,1,0,0,0,2,1,5,0
N20000252,446,0,0,2,0,1,0,0,0,0,0,0,0
N20000253,612,0,0,0,0,3,0,0,0,2,0,1,0
N20000254,496,0,0,0,0,4,0,0,0,0,0,0,0
N20000255,504,0,0,6,6,0,0,0,9,8,0,13,0
N20000256,532,0,0,5,6,3,6,0,2,0,0,8,0
N20000257,301,0,0,0,1,1,0,0,0,1,0,3,1
N20000258,505,0,0,2,0,0,0,0,0,4,0,5,0
N20000259,574,0,0,4,4,0,0,0,0,0,0,6,0
N20000260,650,0,0,0,0,0,0,0,0,1,0,0,1
N20000261,877,0,0,0,3,0,0,0,1,0,0,12,0
N20000262,635,0,0,3,0,0,0,0,6,1,0,9,0
N20000263,545,0,0,7,0,0,0,1,3,2,0,4,0
N20000264,651,0,0,10,0,1,0,3,0,6,0,10,2
N20000265,516,0,0,10,0,4,0,0,0,0,0,7,0
N20000266,371,0,0,1,0,0,0,1,1,0,0,2,0
N20000267,790,0,0,0,0,5,3,0,4,0,0,6,0
N20000268,659,0,0,4,0,2,0,0,0,0,0,0,1
N20000269,637,0,0,1,7,0,0,0,1,0,0,0,1
N20000270,331,0,0,5,8,1,0,0,0,0,0,4,1
N20000271,499,0,0,0,5,0,0,0,0,0,1,6,0
N20000272,624,0,0,8,10,1,0,0,0,6,0,8,0
N20000273,394,0,0,0,4,0,0,0,1,0,0,6,0
N20000274,530,0,0,0,0,0,0,0,0,1,1,1,2
N20000275,476,0,0,5,0,4,0,0,0,1,0,4,1
N20000276,586,0,1,0,10,0,0,0,0,1,0,1,2
N20000277,419,0,0,8,5,0,0,0,0,0,0,2,0
N20000278,520,0,0,0,0,0,0,0,0,1,0,2,0
N20000279,1198,0,0,4,0,4,4,0,10,17,42,30,24
N20000280,650,0,0,1,0,0,0,1,0,0,0,8,0
N20000281,660,0,0,0,1,0,0,0,0,0,1,7,0
N20000282,422,0,0,0,0,1,0,0,0,1,0,0,5
N20000283,733,0,0,6,0,0,0,0,0,0,1,3,6
N20000284,606,5,0,0,1,1,0,0,0,0,0,5,0
N20000285,642,0,0,2,0,0,0,1,0,1,0,4,0
N20000286,518,0,0,0,0,2,0,0,0,0,0,0,0
N20000287,725,0,0,0,1,1,1,0,0,1,0,8,1
N20000288,446,0,0,4,13,0,0,5,6,0,1,2,0
N20000289,350,0,0,0,0,0,0,5,1,0,0,0,0
N20000290,298,0,0,0,0,0,0,0,0,1,0,0,3
N20000291,313,0,0,4,0,0,0,0,0,0,0,0,0
N20000292,557,0,0,0,1,0,0,1,0,0,0,3,0
N20000293,519,0,0,0,3,0,0,0,1,0,0,11,0
N20000294,722,0,0,0,0,0,1,0,0,0,0,2,1
N20000295,690,5,3,0,0,0,0,0,0,0,0,0,2
N20000296,553,0,0,0,1,0,0,0,1,0,0,0,0
N20000297,630,0,0,5,0,0,0,0,0,1,0,1,1
N20000298,664,0,0,0,0,0,0,0,0,0,0,0,0
N20000299,544,0,0,0,0,0,0,0,0,0,0,0,0
N20000300,484,0,0,0,1,0,0,0,0,0,0,0,1
N20000301,714,0,0,0,0,0,0,0,1,0,0,0,0
N20000302,770,0,0,0,0,0,0,0,0,0,0,0,0
N20000303,657,0,0,9,0,0,0,0,0,0,0,2,2
N20000304,496,0,0,9,1,0,0,0,0,0,0,2,0
N20000305,559,0,0,0,0,0,0,0,3,0,0,7,0
N20000306,528,0,0,0,4,0,0,0,1,0,0,3,0
N20000307,407,1,0,0,8,0,0,0,0,0,0,0,0
N20000308,393,4,0,3,8,1,1,0,1,0,0,8,18
N20000309,648,0,6,13,3,0,0,0,0,1,4,1,6
N20000310,437,0,0,0,1,0,0,0,0,0,1,1,0
N20000311,512,0,0,7,0,0,0,0,0,0,0,3,0
N20000312,682,0,0,0,3,0,0,0,0,0,0,4,7
N20000313,413,1,6,5,1,0,0,0,0,0,0,3,8
N20000314,329,0,0,0,0,0,0,10,5,0,6,0,5
N20000315,447,0,3,0,38,0,0,1,5,4,0,5,9
N20000316,437,52,0,0,1,0,0,0,0,0,0,3,5
N20000317,681,24,0,0,0,1,1,0,1,1,0,1,1
N20000318,508,1,0,0,15,0,0,0,0,0,3,0,1
N20000319,240,0,4,0,0,0,0,0,0,1,0,1,14
N20000320,474,1,3,7,9,0,0,0,0,0,1,8,6
N20000321,322,6,0,0,0,0,0,0,0,0,0,0,0
N20000322,420,50,0,0,0,0,0,0,3,0,0,1,0
N20000323,209,0,4,0,0,1,0,0,0,0,0,9,8
N20000324,337,1,13,0,0,0,1,0,2,0,0,5,1
N20000325,387,2,0,0,4,3,0,0,0,2,1,8,3
N20000326,512,3,0,3,2,1,0,0,2,0,0,1,3
N20000327,516,6,3,0,2,2,0,0,0,0,0,9,3
N20000328,320,0,0,0,0,0,0,0,3,0,0,2,0
N20000329,789,0,2,0,3,5,1,0,0,0,3,5,0
N20000330,551,0,0,0,1,0,0,0,0,0,0,7,3
N20000331,553,2,0,0,13,0,0,0,1,0,1,3,0
N20000332,488,0,1,0,0,0,1,0,0,0,0,3,4
N20000333,484,0,0,0,0,3,0,0,0,1,0,0,1
N20000334,549,0,1,0,10,0,5,0,2,0,0,3,0
N20000335,379,0,0,3,0,0,0,0,0,0,0,8,0
N20000336,456,1,0,0,0,1,1,0,0,0,3,0,1
N20000337,467,0,0,0,5,1,0,3,0,0,0,3,2
N20000338,406,0,0,0,0,0,0,0,0,0,0,0,0
N20000339,552,0,4,0,0,0,0,0,0,0,0,1,1
N20000340,541,0,0,0,0,0,0,0,0,0,0,1,1
N20000341,676,0,0,0,1,0,0,0,0,0,0,0,1
N20000342,415,0,0,0,0,0,0,0,0,0,0,0,1
