dz_2021_code,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20000477,496,11,5,1,4,3,41,5
N20000478,480,17,14,20,26,3,52,5
N20000479,353,0,1,0,2,0,25,1
N20000480,441,3,2,1,3,2,25,0
N20000481,586,2,9,3,6,0,52,4
N20000482,444,75,102,8,25,1,115,7
N20000483,618,1,5,0,6,6,44,3
N20000484,474,4,10,3,2,0,46,10
N20000485,582,1,3,1,2,1,40,2
N20000486,519,1,2,2,8,1,35,7
N20000487,510,2,2,0,6,1,17,2
N20000488,283,35,86,8,46,15,67,4
N20000489,410,3,5,0,2,0,20,2
N20000490,712,3,6,1,10,0,47,7
N20000491,402,0,3,0,3,0,16,13
N20000492,481,1,1,0,0,6,26,15
N20000493,514,2,7,0,1,3,55,11
N20000494,567,2,2,0,11,0,17,16
N20000495,579,6,3,0,8,3,45,6
N20000496,536,1,8,0,7,2,106,9
N20000497,438,2,3,1,1,0,19,3
N20000498,291,5,10,2,58,12,87,26
N20000499,526,1,3,0,1,1,18,6
N20000500,290,2,6,2,24,8,60,6
N20000501,127,74,112,13,81,2,136,3
N20000502,119,40,132,14,31,4,105,2
N20000503,361,1,3,1,0,0,34,7
N20000504,251,2,2,0,31,6,54,10
N20000505,272,5,4,0,0,15,40,6
N20000506,361,0,12,1,20,10,80,18
N20000507,168,69,172,9,86,0,141,16
N20000508,314,0,2,1,22,2,40,6
N20000509,251,2,3,0,22,0,43,13
N20000510,66,76,182,10,118,21,130,17
N20000511,482,1,2,0,2,1,42,6
N20000512,349,18,15,0,16,25,85,5
N20000513,130,46,90,14,34,4,60,6
N20000514,110,49,124,18,56,6,114,10
N20000515,163,48,85,8,45,13,146,18
N20000516,379,7,14,1,6,13,49,4
N20000517,36,64,187,18,92,6,79,12
N20000518,17,80,166,24,76,12,72,15
N20000519,44,35,101,8,27,15,76,9
N20000520,41,92,227,18,123,12,159,5
N20000521,212,91,169,9,98,3,91,1
N20000522,443,1,4,0,3,7,28,12
N20000523,51,77,131,27,62,14,76,10
N20000524,359,11,32,3,10,30,55,21
N20000525,211,27,72,5,19,1,72,5
N20000526,58,47,55,4,42,19,106,9
N20000527,135,56,89,18,44,25,153,8
N20000528,362,9,1,1,5,4,23,11
N20000529,79,59,99,15,67,14,115,11
N20000530,434,4,1,0,13,0,25,1
N20000531,23,84,113,22,71,3,89,4
N20000532,196,1,3,2,14,2,35,7
N20000533,36,41,84,13,44,7,101,11
N20000534,68,45,97,15,36,3,120,5
N20000535,386,5,6,3,10,11,52,9
N20000536,655,11,29,4,23,7,104,18
N20000537,38,69,154,14,77,4,130,9
N20000538,597,1,12,0,14,6,49,11
N20000539,62,65,133,18,55,3,92,5
N20000540,102,50,102,12,60,0,122,5
N20000541,430,1,5,0,4,1,38,4
N20000542,60,48,175,27,73,4,105,5
N20000543,463,2,7,0,1,0,24,12
N20000544,49,111,168,21,85,3,91,12
N20000545,27,68,134,29,88,2,101,1
N20000546,56,23,94,16,50,0,52,7
N20000547,58,72,129,32,126,2,121,7
N20000548,60,94,132,17,89,8,74,14
N20000549,48,115,193,32,129,7,109,7
N20000550,75,95,143,20,66,6,92,1
N20000551,45,124,210,30,111,10,79,14
N20000552,44,148,132,29,109,6,143,10
N20000553,74,146,173,26,146,15,125,6
N20000554,41,140,112,9,85,3,77,6
N20000555,17,127,141,24,70,3,125,6
N20000556,35,73,84,5,43,3,75,0
N20000557,18,115,139,13,69,1,80,7
N20000558,49,203,209,29,73,1,145,6
N20000559,13,133,127,37,60,4,85,4
N20000560,48,97,39,14,54,6,55,9
N20000561,53,190,214,42,117,8,151,1
N20000562,25,124,103,30,66,0,82,5
N20000563,173,163,79,15,120,5,137,9
N20000564,42,129,114,19,84,2,160,10
N20000565,96,110,116,17,73,5,148,7
N20000566,60,105,110,13,76,0,125,9
N20000567,35,163,180,43,109,2,147,6
N20000568,72,143,78,21,88,3,128,2
N20000569,128,131,200,10,95,3,109,7
N20000570,94,75,77,20,59,4,102,3
N20000571,108,158,93,7,81,6,161,5
N20000572,40,197,155,33,121,2,181,3
N20000573,113,115,154,21,84,14,217,9
N20000574,86,183,142,18,82,7,197,13
N20000575,62,147,113,15,109,6,136,6
N20000576,48,123,151,11,92,1,162,11
N20000577,49,162,69,8,65,2,130,3
N20000578,88,136,99,28,86,5,141,20
N20000579,54,206,100,14,92,12,118,12
N20000580,142,178,191,36,115,11,105,17
N20000581,15,71,124,37,40,0,126,9
N20000582,79,253,81,4,100,7,124,3
N20000583,62,187,88,23,78,2,68,9
N20000584,54,207,93,8,103,5,207,6
N20000585,77,156,84,9,79,2,65,10
N20000586,44,175,115,10,102,7,84,10
N20000587,76,255,76,7,128,10,190,10
N20000588,78,216,86,14,63,1,95,3
N20000589,16,197,77,3,51,2,106,5
N20000590,121,149,42,1,45,3,91,2
N20000591,86,190,33,2,74,6,55,4
N20000592,261,164,56,5,56,5,103,4
N20000593,146,275,47,6,57,3,70,5
N20000594,101,81,52,12,84,12,65,3
N20000595,210,91,102,22,80,5,102,4
N20000596,377,18,15,1,8,1,24,10
N20000597,199,31,23,2,10,5,65,1
N20000598,251,51,79,2,17,7,82,7
N20000599,86,118,89,15,55,2,118,8
N20000600,309,47,52,3,19,2,104,6
N20000601,161,53,95,3,32,13,85,4
N20000602,169,76,110,3,58,2,55,0
N20000603,97,137,133,13,71,12,119,24
N20000604,57,65,96,15,23,5,37,2
N20000605,242,63,32,6,16,0,31,1
N20000606,197,39,92,0,35,0,37,0
N20000607,90,71,59,7,18,1,56,3
N20000608,129,119,85,10,21,4,81,0
N20000609,240,144,97,7,29,13,101,1
N20000610,138,121,121,18,43,7,93,1
N20000611,130,70,79,16,22,3,87,4
N20000612,159,81,84,5,21,24,76,6
N20000613,95,62,57,10,33,2,66,4
