dz_2021_code,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20001316,462,3,1,3,9,9,22,19
N20001317,482,0,1,0,1,7,16,9
N20001318,419,2,8,2,4,9,24,7
N20001319,286,0,4,0,4,16,26,4
N20001320,411,8,4,0,4,0,37,4
N20001321,476,1,3,0,17,24,56,14
N20001322,371,5,0,0,8,20,43,6
N20001323,313,3,3,2,2,6,15,4
N20001324,425,1,8,0,12,21,42,7
N20001325,684,3,1,4,0,10,45,8
N20001326,620,2,1,0,0,10,29,7
N20001327,375,0,0,0,1,2,47,7
N20001328,505,15,2,0,11,25,39,11
N20001329,273,1,0,0,2,7,16,3
N20001330,336,1,0,0,6,10,54,4
N20001331,456,0,2,0,2,5,37,2
N20001332,433,4,2,0,9,1,36,0
N20001333,367,2,4,0,8,7,55,4
N20001334,615,4,4,1,5,6,62,6
N20001335,273,1,1,0,1,8,28,6
N20001336,206,2,0,0,3,13,16,12
N20001337,394,0,0,0,3,0,22,3
N20001338,292,10,5,2,0,2,21,41
N20001339,618,8,4,2,2,7,37,5
N20001340,389,2,1,0,4,12,23,5
N20001341,266,5,2,2,14,1,27,5
N20001342,521,0,0,0,5,7,40,6
N20001343,386,1,1,0,1,8,27,8
N20001344,294,2,1,0,4,1,18,2
N20001345,420,5,1,3,5,5,40,3
N20001346,448,5,5,1,2,4,31,15
N20001347,269,2,3,1,1,0,23,15
N20001348,382,3,9,0,0,12,44,12
N20001349,367,1,0,0,0,1,34,6
N20001350,394,4,0,0,0,3,32,5
N20001351,556,17,1,1,11,0,44,2
N20001352,464,8,6,1,3,3,42,8
N20001353,263,1,1,0,0,3,16,5
N20001354,366,8,1,2,4,5,35,9
N20001355,422,4,3,1,0,3,36,7
N20001356,608,3,0,0,5,4,43,4
N20001357,366,6,1,1,3,1,29,4
N20001358,506,13,9,1,3,14,34,5
N20001359,512,6,9,0,2,0,22,6
N20001360,385,1,3,1,1,7,23,6
N20001361,471,1,1,1,0,6,52,9
N20001362,455,11,0,0,2,0,31,1
N20001363,551,13,8,2,2,4,37,8
N20001364,535,0,1,0,3,1,48,6
N20001365,379,5,5,0,3,24,52,16
N20001366,361,4,0,2,1,2,30,11
N20001367,366,3,4,0,5,4,17,6
N20001368,213,2,1,0,0,3,30,2
N20001369,23,130,141,19,53,1,107,1
N20001370,17,145,180,23,47,5,87,20
N20001371,137,113,58,29,31,5,85,4
N20001372,7,85,143,21,11,1,59,10
N20001373,215,99,116,18,31,2,91,16
N20001374,436,4,2,2,4,1,25,3
N20001375,5,180,146,28,71,13,132,8
N20001376,7,71,41,6,28,0,51,5
N20001377,40,121,77,22,33,1,65,27
N20001378,43,143,136,8,66,3,132,26
N20001379,26,135,129,23,45,6,122,4
N20001380,20,208,126,45,92,7,142,7
N20001381,26,238,215,49,74,6,112,23
N20001382,7,137,107,23,50,13,79,10
N20001383,45,190,146,19,66,13,103,4
N20001384,28,167,145,41,62,9,130,12
N20001385,36,112,81,18,30,5,78,6
N20001386,15,112,79,33,46,0,96,13
N20001387,15,134,121,25,23,1,94,9
N20001388,16,135,175,25,72,0,76,1
N20001389,22,157,138,12,56,12,159,7
N20001390,16,208,161,53,58,0,104,2
N20001391,9,155,130,19,54,2,74,3
N20001392,17,129,103,43,40,1,67,8
N20001393,6,48,62,9,30,10,39,6
N20001394,27,101,95,12,20,10,71,8
N20001395,14,91,82,32,22,0,50,2
N20001396,33,150,113,12,43,3,58,19
N20001397,36,101,122,16,40,7,119,16
N20001398,9,103,99,19,36,8,78,11
N20001399,13,199,109,37,58,5,129,11
N20001400,32,70,43,10,22,12,66,1
N20001401,60,167,128,51,73,9,172,24
N20001402,62,157,109,23,56,7,148,3
N20001403,1,103,76,7,28,3,58,4
N20001404,17,128,60,23,50,10,115,4
N20001405,3,177,166,10,54,3,95,15
N20001406,15,109,89,7,39,2,57,9
N20001407,16,120,68,39,23,0,75,6
N20001408,11,116,80,23,48,3,48,3
N20001409,2,61,86,11,23,1,40,4
N20001410,7,103,89,42,25,0,26,6
N20001411,27,139,105,33,60,2,69,9
N20001412,17,79,51,19,30,5,65,7
N20001413,122,132,119,36,50,4,99,7
N20001414,234,28,19,3,14,1,36,4
N20001415,12,124,74,24,49,0,46,0
N20001416,18,171,154,24,30,1,80,19
N20001417,35,120,114,14,42,3,52,8
N20001418,146,40,53,2,27,30,103,12
N20001419,394,3,0,0,0,4,24,2
N20001420,272,4,6,2,10,11,25,7
N20001421,277,29,32,5,19,0,31,56
N20001422,204,22,13,3,21,13,75,4
N20001423,194,5,3,0,3,15,10,12
N20001424,44,192,165,19,56,7,140,12
N20001425,206,3,4,3,14,20,40,1
N20001426,347,5,1,4,5,4,23,9
N20001427,540,9,2,0,7,15,46,5
N20001428,436,11,7,6,8,24,59,23
N20001429,505,8,0,1,7,5,31,8
N20001430,219,1,1,0,4,24,41,4
N20001431,265,0,1,1,8,4,26,12
N20001432,286,0,2,0,1,0,14,4
N20001433,373,9,0,1,12,1,17,12
N20001434,309,3,5,4,2,7,24,2
N20001435,271,5,6,0,5,24,33,3
N20001436,344,6,2,0,3,0,18,1
N20001437,366,13,2,0,8,0,23,6
N20001438,369,0,1,1,7,0,14,25
N20001439,416,12,3,1,32,38,68,8
N20001440,367,2,3,0,0,5,15,5
N20001441,355,13,9,1,17,43,85,4
N20001442,439,5,4,0,2,11,18,5
N20001443,292,3,2,2,6,27,29,4
N20001444,580,6,5,0,4,11,27,8
N20001445,270,1,9,0,26,18,54,15
N20001446,161,191,64,0,23,0,54,8
N20001447,193,36,46,13,14,5,61,3
N20001448,119,42,38,1,6,1,51,0
N20001449,258,63,89,1,18,2,29,10
N20001450,310,73,85,0,33,0,49,10
N20001451,180,25,79,0,2,0,20,2
N20001452,303,53,74,7,18,4,107,5
N20001453,313,49,39,7,5,0,59,1
N20001454,473,7,6,0,2,0,32,6
N20001455,302,6,0,0,3,0,18,5
N20001456,537,10,5,0,11,0,35,6
N20001457,92,231,80,0,36,0,40,3
N20001458,324,84,27,3,21,2,51,2
N20001459,334,200,152,1,51,1,127,4
N20001460,287,24,16,5,11,0,44,3
N20001461,203,203,67,5,8,5,36,7
N20001462,529,55,13,0,5,0,35,6
N20001463,275,5,3,0,6,0,23,11
N20001464,91,229,118,0,13,1,43,1
N20001465,417,68,46,1,8,3,22,9
N20001466,476,153,99,1,22,2,41,7
N20001467,23,82,181,1,8,0,19,1
N20001468,602,15,32,0,10,0,26,3
N20001469,630,2,12,0,2,1,21,5
N20001470,290,9,7,0,2,0,21,4
N20001471,330,1,6,0,0,1,18,2
N20001472,424,6,0,0,0,2,19,4
N20001473,584,6,1,0,3,3,33,14
N20001474,281,9,7,0,3,0,25,0
N20001475,500,0,4,0,0,3,11,3
N20001476,458,2,3,1,0,2,25,1
N20001477,504,35,63,0,16,1,26,5
N20001478,529,18,64,0,3,0,11,1
N20001479,606,11,17,0,4,1,40,24
N20001480,320,55,36,0,3,3,21,1
N20001481,657,96,62,5,22,6,67,105
N20001482,356,185,64,5,12,0,85,7
N20001483,222,69,54,0,20,0,27,1
N20001484,176,262,154,8,28,3,85,17
N20001485,110,153,79,6,35,8,64,4
N20001486,170,98,85,3,6,0,49,6
N20001487,93,134,92,4,29,5,35,3
N20001488,62,37,23,1,14,2,40,11
N20001489,213,169,180,5,25,2,69,8
N20001490,147,75,64,4,13,5,42,4
N20001491,321,145,91,8,34,2,66,8
N20001492,198,69,66,6,13,2,55,6
N20001493,107,53,50,9,16,1,27,4
N20001494,216,72,84,1,18,2,50,8
N20001495,79,66,48,5,14,6,49,5
N20001496,162,19,47,0,4,0,27,1
N20001497,223,142,77,8,21,8,76,1
N20001498,248,79,85,0,12,0,45,4
N20001499,101,68,73,4,9,1,46,4
N20001500,135,24,23,0,5,1,30,2
N20001501,310,115,125,6,28,4,97,12
N20001502,128,109,110,1,21,0,69,4
N20001503,195,94,72,1,11,0,48,3
N20001504,257,89,94,2,9,0,99,7
N20001505,238,134,112,2,17,3,45,5
N20001506,154,118,81,10,29,0,65,6
N20001507,313,74,63,5,15,1,34,8
N20001508,314,162,119,5,19,2,100,9
N20001509,260,67,68,0,9,1,37,0
N20001510,266,101,64,5,19,2,57,7
N20001511,182,263,86,12,27,1,46,9
N20001512,397,20,7,0,3,0,25,5
N20001513,302,109,61,2,17,0,56,7
N20001514,81,201,182,5,37,9,191,13
N20001515,66,139,111,5,21,2,86,7
N20001516,73,251,156,2,36,2,107,8
N20001517,84,134,39,2,28,2,45,3
N20001518,155,276,145,6,82,9,177,7
N20001519,36,113,90,2,9,5,35,12
N20001520,45,306,128,6,60,1,95,9
N20001521,108,186,106,3,29,6,97,6
N20001522,24,132,82,1,37,11,61,1
N20001523,11,129,184,0,23,2,70,4
N20001524,69,152,76,2,67,5,139,7
N20001525,81,225,84,1,74,8,94,4
N20001526,66,200,63,4,56,2,77,3
N20001527,60,347,90,9,43,8,89,15
N20001528,45,308,108,4,73,4,107,16
N20001529,15,202,66,1,52,2,54,15
N20001530,238,193,123,0,75,4,110,5
N20001531,200,45,10,6,14,0,35,3
N20001532,441,65,39,0,8,0,32,7
N20001533,24,189,93,2,33,5,34,1
N20001534,186,122,47,0,14,2,41,7
N20001535,44,92,93,3,16,2,33,5
N20001536,52,155,79,0,37,0,51,5
N20001537,144,214,113,5,31,2,60,14
N20001538,432,53,35,0,1,1,26,6
N20001539,371,173,49,4,46,3,78,10
N20001540,418,20,11,0,9,0,59,20
N20001541,342,17,27,0,14,3,40,4
N20001542,505,224,52,1,33,2,50,13
N20001543,447,103,34,1,16,2,94,15
N20001544,272,183,41,0,45,1,46,4
N20001545,375,59,12,0,21,0,23,2
N20001546,303,2,7,0,1,0,23,1
N20001547,64,216,190,17,62,12,197,16
N20001548,196,93,97,10,83,20,191,34
N20001549,49,144,93,1,41,9,124,2
N20001550,42,155,92,8,18,5,142,11
N20001551,61,84,60,6,25,3,90,6
N20001552,80,109,124,7,22,1,99,6
N20001553,93,197,178,9,52,5,207,19
N20001554,62,98,152,10,34,3,111,13
N20001555,101,123,94,2,41,12,111,11
N20001556,32,61,83,1,15,13,82,8
N20001557,126,151,137,11,51,5,134,3
N20001558,125,129,100,10,71,10,90,7
N20001559,69,102,128,1,16,0,107,8
N20001560,125,102,107,11,50,7,95,9
N20001561,88,82,139,7,44,4,108,6
N20001562,73,60,74,2,46,10,88,5
N20001563,87,120,171,6,28,0,103,6
N20001564,61,70,129,1,36,1,110,3
N20001565,68,113,92,6,49,0,104,7
N20001566,70,67,101,0,11,4,51,8
N20001567,101,117,98,3,38,3,100,4
N20001568,181,55,65,4,33,4,110,7
N20001569,86,102,66,3,56,3,57,2
N20001570,136,74,69,4,29,11,129,14
N20001571,59,34,32,2,15,3,34,5
N20001572,121,143,93,6,32,10,128,16
N20001573,208,62,91,3,43,2,96,10
N20001574,292,75,109,2,20,2,104,3
N20001575,202,63,79,0,15,4,72,2
N20001576,153,56,45,4,36,7,96,2
N20001577,79,84,42,4,19,5,40,3
N20001578,78,51,55,5,38,7,56,9
N20001579,119,27,56,3,11,0,41,4
N20001580,146,127,113,7,34,5,110,3
N20001581,152,76,113,7,22,1,76,10
N20001582,94,80,99,6,53,14,115,8
N20001583,65,159,86,6,57,0,78,1
N20001584,79,86,86,6,34,2,72,2
N20001585,108,105,122,16,49,6,118,5
N20001586,104,91,84,5,43,9,96,3
N20001587,143,141,147,4,69,11,180,17
N20001588,99,90,68,6,40,5,68,3
N20001589,92,148,182,6,58,1,133,8
N20001590,86,109,108,12,54,4,92,7
N20001591,105,147,118,5,65,8,138,9
N20001592,97,89,93,6,35,1,98,3
N20001593,90,158,111,6,61,7,110,3
N20001594,89,173,107,8,52,2,93,3
N20001595,6,119,96,1,23,1,75,5
N20001596,87,184,103,8,80,9,133,6
N20001597,17,254,190,9,123,2,94,23
N20001598,5,106,140,0,23,1,44,5
N20001599,98,72,68,4,22,7,95,10
N20001600,9,80,144,1,21,0,42,6
N20001601,6,121,141,5,17,2,59,5
N20001602,10,136,90,5,36,8,62,6
N20001603,101,66,75,5,21,7,87,12
N20001604,96,144,84,11,42,4,145,16
N20001605,4,115,168,1,16,3,32,2
N20001606,8,90,101,2,15,0,29,5
N20001607,104,90,91,9,19,7,116,11
N20001608,82,54,72,3,11,1,93,2
N20001609,77,99,55,9,38,2,57,1
N20001610,95,118,105,8,53,1,154,1
N20001611,93,130,125,5,25,4,138,9
N20001612,114,70,77,5,23,3,177,15
N20001613,91,180,118,17,34,3,115,7
N20001614,91,141,108,3,21,3,112,8
N20001615,170,117,113,6,53,10,194,3
N20001616,162,121,81,10,29,8,139,10
N20001617,10,235,96,10,42,3,92,7
N20001618,85,110,106,11,33,1,140,10
N20001619,10,198,71,0,36,9,61,3
N20001620,88,67,64,5,22,4,111,2
N20001621,141,72,56,3,62,10,120,10
N20001622,108,112,98,2,16,7,91,0
N20001623,134,100,70,14,53,6,96,3
N20001624,127,94,79,13,41,4,61,4
N20001625,73,49,52,4,12,7,48,5
N20001626,132,81,88,2,36,3,110,8
N20001627,37,259,131,4,38,9,146,14
N20001628,122,29,38,8,31,0,55,3
N20001629,55,76,46,5,17,5,82,8
N20001630,163,49,55,17,43,15,116,5
N20001631,148,64,80,13,60,1,100,1
N20001632,190,148,83,14,48,3,124,21
N20001633,178,59,41,15,43,23,167,8
N20001634,90,208,107,6,79,5,113,13
N20001635,211,114,58,9,40,11,157,7
N20001636,24,237,103,1,48,1,89,7
N20001637,161,108,70,8,54,8,77,3
N20001638,223,88,98,19,53,8,151,11
N20001639,13,284,141,0,42,3,68,5
N20001640,39,216,95,2,53,0,44,23
N20001641,12,140,41,1,35,0,48,2
N20001642,11,142,246,0,32,3,60,1
N20001643,26,140,95,0,39,0,59,7
N20001644,25,300,151,5,91,6,132,7
N20001645,58,270,71,2,51,6,69,2
N20001646,12,116,88,1,32,1,35,3
N20001647,41,229,136,4,46,2,72,7
N20001648,24,126,62,4,26,2,51,4
N20001649,32,180,47,0,39,0,55,1
N20001650,26,219,35,2,24,5,42,4
N20001651,64,1,11,5,1,7,45,6
N20001652,253,63,129,0,17,2,35,6
N20001653,460,35,39,2,21,1,71,12
N20001654,175,14,21,0,1,1,33,7
N20001655,409,40,30,0,19,0,73,8
N20001656,594,29,39,3,7,4,91,12
N20001657,221,31,17,4,8,0,41,10
N20001658,90,210,101,2,36,5,111,11
N20001659,208,35,23,1,13,2,76,3
N20001660,673,40,75,0,18,1,93,6
N20001661,242,17,16,0,2,1,42,13
N20001662,309,28,33,1,9,7,71,5
N20001663,451,37,29,4,6,5,60,14
N20001664,244,30,46,0,9,0,42,5
N20001665,471,9,16,0,11,0,48,4
N20001666,126,141,114,1,32,3,89,14
N20001667,360,1,8,1,12,4,35,7
N20001668,474,33,37,2,22,1,63,9
N20001669,26,195,94,3,50,3,106,3
N20001670,85,114,75,1,23,1,64,2
N20001671,131,80,127,0,35,3,36,11
N20001672,26,263,173,2,63,0,82,6
N20001673,528,4,6,0,11,1,27,11
N20001674,98,282,84,1,75,6,79,5
N20001675,548,3,4,1,8,0,31,5
N20001676,332,79,43,1,30,0,62,2
N20001677,270,3,3,0,0,2,30,1
N20001678,497,33,9,0,6,1,32,4
N20001679,348,2,0,0,1,0,13,3
N20001680,499,9,14,1,1,2,33,5
N20001681,476,7,8,0,3,0,11,17
N20001682,342,1,5,2,5,0,19,4
N20001683,693,37,11,0,12,1,43,4
N20001684,650,15,2,0,2,7,40,9
N20001685,82,271,106,2,70,0,109,4
N20001686,69,277,74,3,108,6,98,8
N20001687,94,177,99,0,66,4,112,4
N20001688,47,143,100,1,45,0,78,4
N20001689,104,263,70,4,71,11,96,11
N20001690,34,94,65,5,51,0,99,2
N20001691,45,145,70,4,56,6,85,7
N20001692,88,218,88,13,101,4,117,6
N20001693,32,225,144,0,58,2,126,10
N20001694,58,88,49,2,15,1,88,2
N20001695,51,154,76,5,32,1,88,4
N20001696,52,209,70,8,57,3,114,12
N20001697,73,165,91,3,43,4,96,7
N20001698,68,108,90,1,33,15,115,7
N20001699,44,191,85,9,71,9,101,7
N20001700,59,119,55,1,43,3,90,6
N20001701,61,125,67,0,29,1,96,16
N20001702,170,247,140,4,74,2,127,16
N20001703,102,23,11,0,7,2,67,2
N20001704,18,152,47,1,29,5,53,7
N20001705,38,200,62,2,57,0,83,14
N20001706,50,184,60,2,72,4,86,16
N20001707,26,163,108,5,37,0,72,6
N20001708,56,188,85,1,48,3,134,5
N20001709,79,159,70,2,54,1,114,9
N20001710,110,227,136,3,122,11,129,5
N20001711,42,139,65,1,41,3,37,9
N20001712,46,219,42,3,77,0,69,4
N20001713,51,198,91,5,66,12,127,5
N20001714,58,216,29,3,58,2,42,6
N20001715,427,206,55,0,59,4,78,11
N20001716,354,244,60,8,91,5,118,3
N20001717,32,130,20,2,63,1,35,1
N20001718,283,6,0,0,6,0,13,2
N20001719,534,4,2,0,3,2,14,3
N20001720,155,343,67,2,95,0,86,3
N20001721,199,164,70,7,41,3,69,8
N20001722,381,204,62,2,63,1,58,4
N20001723,189,220,89,7,68,4,94,4
N20001724,501,8,1,1,1,1,37,4
N20001725,393,111,18,1,27,0,26,0
N20001726,187,280,32,0,38,1,71,7
N20001727,332,144,30,0,36,0,41,2
N20001728,285,19,3,0,8,2,22,2
N20001729,545,56,25,1,23,10,71,9
N20001730,76,119,13,8,42,0,27,4
N20001731,380,183,30,0,30,5,26,9
N20001732,444,5,1,0,1,8,41,6
N20001733,746,12,3,0,0,5,34,6
N20001734,432,0,1,0,10,6,34,4
N20001735,341,1,0,0,19,7,48,10
N20001736,512,1,3,0,6,8,27,12
N20001737,250,2,0,0,7,6,23,6
N20001738,359,0,0,0,8,1,59,15
N20001739,548,0,7,0,5,4,37,5
N20001740,390,0,1,0,12,5,62,6
N20001741,289,5,10,1,3,2,26,15
N20001742,464,0,0,0,2,1,29,16
N20001743,149,4,6,0,7,20,51,4
N20001744,339,1,10,1,15,1,13,7
N20001745,294,0,4,0,6,7,27,12
N20001746,325,1,0,0,1,1,4,11
N20001747,436,9,2,0,3,0,22,9
N20001748,386,7,9,1,2,4,44,1
N20001749,299,4,0,0,0,1,11,3
N20001750,168,6,3,0,3,2,18,9
N20001751,463,6,0,0,3,0,19,10
N20001752,431,0,6,0,2,1,14,9
N20001753,626,2,3,0,3,2,29,12
N20001754,20,86,112,10,10,1,51,1
N20001755,473,0,1,4,2,0,12,3
N20001756,221,10,8,2,6,11,60,6
N20001757,630,11,0,0,0,10,26,17
N20001758,392,2,4,0,1,2,30,15
N20001759,399,4,0,0,1,1,23,16
N20001760,445,3,3,0,3,1,9,8
N20001761,430,4,5,0,9,13,60,15
N20001762,818,3,6,0,6,2,41,13
N20001763,444,4,5,0,0,1,22,4
N20001764,478,3,3,1,11,17,62,9
N20001765,429,2,0,0,4,9,25,4
N20001766,329,0,1,0,3,5,21,5
N20001767,556,93,39,1,10,2,30,6
N20001768,299,29,15,0,11,3,8,0
N20001769,830,9,9,1,3,5,57,7
N20001770,545,3,2,1,2,0,24,3
N20001771,486,10,11,0,7,7,48,26
N20001772,408,3,1,0,10,4,43,11
N20001773,452,2,4,0,6,2,20,2
N20001774,542,9,1,0,3,3,37,9
N20001775,258,11,5,0,3,0,24,2
N20001776,460,5,2,1,3,1,42,6
N20001777,492,4,7,0,3,2,46,5
N20001778,490,0,4,0,6,1,27,4
N20001779,515,8,1,1,3,10,44,9
N20001780,597,7,0,0,3,0,32,6
N20001781,402,3,7,0,4,0,63,2
N20001782,583,2,2,0,1,3,25,8
N20001783,380,1,2,0,2,6,20,4
N20001784,432,13,11,0,6,8,78,8
N20001785,522,1,2,0,1,0,32,3
N20001786,506,2,4,0,3,2,33,6
N20001787,295,22,7,2,3,1,15,15
N20001788,656,0,4,0,8,0,34,4
N20001789,266,8,9,0,7,15,84,10
N20001790,456,42,23,6,19,8,148,26
N20001791,459,17,9,3,9,8,47,10
N20001792,567,0,2,0,11,1,46,5
N20001793,176,1,1,0,11,3,70,19
N20001794,199,16,11,3,3,4,78,1
N20001795,400,12,11,2,5,0,80,5
N20001796,459,0,7,1,3,0,50,9
N20001797,189,16,12,1,9,10,90,2
N20001798,190,7,3,0,0,1,48,3
N20001799,535,3,2,1,10,5,70,9
N20001800,247,1,4,0,7,2,95,25
N20001801,207,3,5,0,8,13,65,1
N20001802,188,7,0,0,8,7,53,6
N20001803,543,28,16,1,6,2,37,4
N20001804,421,1,3,0,12,5,35,3
N20001805,628,8,5,1,5,3,53,26
N20001806,674,8,6,0,7,6,57,5
N20001807,537,19,9,0,5,6,46,3
N20001808,186,2,0,0,2,0,6,3
N20001809,531,1,9,3,4,0,27,52
N20001810,553,4,0,0,2,5,43,3
N20001811,628,7,12,1,7,2,14,13
N20001812,568,34,11,3,20,5,59,8
N20001813,516,14,18,0,2,1,21,8
N20001814,538,0,2,0,3,0,34,4
N20001815,519,8,4,0,3,0,31,13
N20001816,505,9,0,0,8,1,45,2
N20001817,387,5,11,0,4,0,23,7
N20001818,360,2,4,1,2,1,33,3
N20001819,534,9,1,0,0,3,17,16
N20001820,575,6,6,0,4,12,21,3
N20001821,453,0,1,0,1,1,39,6
N20001822,495,1,1,0,3,0,16,12
N20001823,383,4,14,0,7,8,18,1
N20001824,545,1,1,0,3,12,46,2
N20001825,307,3,4,0,10,0,25,0
N20001826,410,13,4,0,7,0,13,10
N20001827,482,2,11,0,2,5,37,8
N20001828,391,3,7,1,11,1,16,15
N20001829,619,6,5,0,2,6,46,6
N20001830,513,1,0,0,1,0,18,15
N20001831,479,2,8,1,1,4,30,7
N20001832,389,10,4,0,15,10,7,6
N20001833,341,17,1,0,4,10,32,2
N20001834,475,4,4,1,11,2,49,10
N20001835,398,2,1,0,2,0,19,2
N20001836,658,5,2,0,0,0,29,21
N20001837,527,6,1,0,0,1,26,15
N20001838,448,4,4,0,4,4,28,18
N20001839,364,1,0,0,1,0,20,1
N20001840,382,3,4,1,9,1,37,8
N20001841,393,0,3,0,4,4,28,12
N20001842,426,1,0,0,0,1,17,5
N20001843,528,2,2,0,1,1,26,19
N20001844,609,3,3,1,6,6,41,4
N20001845,630,6,5,0,2,4,17,1
N20001846,298,0,2,0,1,0,17,4
N20001847,553,8,0,0,5,2,44,9
N20001848,561,3,1,0,4,1,30,9
N20001849,319,6,6,0,0,1,27,3
N20001850,339,90,57,6,31,15,72,2
N20001851,328,39,31,4,26,10,55,3
N20001852,141,139,133,16,9,6,82,6
N20001853,56,160,180,16,24,3,78,9
N20001854,217,71,79,3,20,5,97,5
N20001855,160,79,78,3,18,18,78,2
N20001856,31,173,176,42,13,0,74,2
N20001857,48,123,139,17,20,3,62,14
N20001858,341,38,21,5,18,18,61,3
N20001859,268,96,63,9,35,4,99,3
N20001860,193,54,50,10,11,4,56,4
N20001861,235,17,21,1,27,11,54,4
N20001862,75,145,83,8,11,4,61,2
N20001863,179,87,86,15,9,8,60,13
N20001864,85,70,97,9,14,3,41,4
N20001865,63,76,49,6,20,6,33,1
N20001866,28,103,98,10,32,10,81,9
N20001867,183,111,60,11,5,7,69,3
N20001868,68,100,157,26,26,5,74,6
N20001869,54,172,178,14,19,7,61,2
N20001870,131,29,28,3,8,2,50,2
N20001871,177,130,106,5,22,17,111,9
N20001872,344,65,45,3,19,50,103,1
N20001873,140,168,140,17,27,16,72,9
N20001874,322,15,22,1,43,5,55,9
N20001875,182,184,129,13,19,8,97,5
N20001876,33,173,167,23,15,6,84,2
N20001877,280,32,31,2,21,14,127,17
N20001878,224,77,60,1,28,20,50,3
N20001879,128,143,112,14,24,12,79,5
N20001880,54,143,79,12,17,2,63,18
N20001881,251,8,5,0,4,0,45,6
N20001882,245,50,39,4,12,8,50,8
N20001883,341,10,15,0,12,6,109,21
N20001884,429,63,87,11,28,50,132,138
N20001885,288,94,101,13,13,4,53,13
N20001886,176,46,53,4,12,0,44,12
N20001887,388,4,11,1,5,1,15,7
N20001888,344,97,76,5,41,11,111,15
N20001889,471,16,4,0,6,25,65,2
N20001890,469,2,6,0,4,1,26,5
N20001891,342,64,41,2,21,11,62,8
N20001892,449,12,14,0,1,0,14,12
N20001893,46,163,167,13,23,1,70,3
N20001894,72,131,93,7,16,8,59,3
N20001895,488,45,38,6,14,9,59,4
N20001896,844,23,21,5,8,12,70,15
N20001897,71,134,98,2,37,1,61,2
N20001898,95,155,119,10,25,6,61,3
N20001899,19,213,125,12,33,4,36,4
N20001900,402,32,27,0,7,8,52,4
N20001901,576,17,8,0,8,5,45,3
N20001902,138,119,162,3,28,3,115,5
N20001903,190,58,112,3,6,0,42,2
N20001904,528,14,12,0,9,10,58,3
N20001905,23,154,209,3,18,2,31,2
N20001906,334,2,4,0,3,8,26,5
N20001907,191,76,105,4,32,8,72,4
N20001908,213,91,63,5,20,3,33,7
N20001909,458,15,12,3,3,0,19,6
N20001910,357,39,28,0,4,0,48,6
N20001911,291,11,13,1,6,1,38,7
N20001912,506,19,25,1,6,8,63,15
N20001913,450,11,21,0,14,24,75,2
N20001914,258,55,65,2,18,0,29,5
N20001915,213,44,47,9,20,1,44,6
N20001916,391,90,97,2,20,6,102,5
N20001917,261,108,75,4,25,2,66,1
N20001918,305,112,109,5,24,1,82,1
N20001919,446,87,74,4,44,2,70,3
N20001920,300,53,72,2,36,0,46,5
N20001921,343,82,55,11,21,1,76,9
N20001922,135,214,43,0,32,2,55,5
N20001923,493,65,25,4,21,6,33,12
N20001924,507,9,4,0,2,12,29,7
N20001925,432,6,8,3,10,7,50,5
N20001926,319,20,25,3,10,9,56,3
N20001927,566,94,51,11,36,3,29,6
N20001928,210,55,58,10,6,28,67,3
N20001929,187,119,39,3,32,7,28,13
N20001930,36,113,119,22,16,1,39,5
N20001931,15,92,134,14,13,1,41,5
N20001932,22,199,224,29,16,0,25,7
N20001933,27,190,298,22,19,3,56,11
N20001934,49,166,225,13,24,0,110,1
N20001935,282,170,88,4,21,5,46,4
N20001936,318,152,76,1,17,15,39,9
N20001937,252,89,41,2,11,7,48,9
N20001938,345,49,10,0,12,0,33,1
N20001939,32,132,115,7,21,7,50,2
N20001940,19,106,71,6,15,0,26,2
N20001941,25,185,119,7,35,0,11,0
N20001942,481,28,16,2,3,1,42,10
N20001943,174,22,18,0,7,12,22,1
N20001944,354,66,26,1,7,2,37,3
N20001945,128,111,70,2,56,1,36,3
N20001946,468,150,126,3,13,7,68,7
N20001947,119,215,147,6,45,2,66,4
N20001948,111,257,189,2,53,0,42,8
N20001949,525,175,80,0,14,2,45,4
N20001950,114,240,100,0,28,4,59,4
N20001951,245,130,88,4,34,0,35,10
N20001952,83,186,244,0,11,0,37,7
N20001953,405,6,0,0,2,4,17,1
N20001954,403,106,91,0,11,2,39,10
N20001955,70,246,201,8,35,1,49,10
N20001956,493,24,23,0,6,3,25,11
N20001957,97,40,68,0,8,0,21,1
N20001958,43,81,48,0,5,2,35,1
N20001959,312,125,35,0,22,6,21,6
N20001960,341,36,19,0,2,4,22,3
N20001961,308,120,60,1,19,5,27,7
N20001962,429,27,15,0,5,3,18,4
N20001963,274,28,9,1,2,2,29,9
N20001964,365,6,2,0,5,2,35,0
N20001965,192,3,4,1,11,7,34,6
N20001966,527,15,22,0,6,9,22,0
N20001967,544,3,5,2,3,1,30,5
N20001968,353,13,31,0,2,1,17,1
N20001969,291,3,11,0,0,10,37,3
N20001970,368,2,8,0,1,4,22,3
N20001971,475,94,29,0,26,5,37,9
N20001972,328,6,10,0,1,5,12,14
N20001973,379,17,1,1,2,1,18,5
N20001974,376,9,14,0,0,3,19,7
N20001975,349,9,0,0,1,0,16,3
N20001976,504,5,6,2,2,1,31,5
N20001977,428,3,8,2,15,3,38,16
N20001978,436,5,1,3,1,1,25,4
