dz_2021_code,age_0_years,age_1_year,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_years,age_21_years,age_22_years,age_23_years,age_24_years,age_25_years,age_26_years,age_27_years,age_28_years,age_29_years,age_30_years,age_31_years,age_32_years,age_33_years,age_34_years,age_35_years,age_36_years,age_37_years,age_38_years,age_39_years,age_40_years,age_41_years,age_42_years,age_43_years,age_44_years,age_45_years,age_46_years,age_47_years,age_48_years,age_49_years,age_50_years,age_51_years,age_52_years,age_53_years,age_54_years,age_55_years,age_56_years,age_57_years,age_58_years,age_59_years,age_60_years,age_61_years,age_62_years,age_63_years,age_64_years,age_65_years,age_66_years,age_67_years,age_68_years,age_69_years,age_70_years,age_71_years,age_72_years,age_73_years,age_74_years,age_75_years,age_76_years,age_77_years,age_78_years,age_79_years,age_80_years,age_81_years,age_82_years,age_83_years,age_84_years,age_85_years
N20000499,8,7,11,12,9,7,16,11,12,15,15,12,13,18,6,13,15,10,5,6,4,6,9,13,7,5,7,4,1,6,7,9,7,4,10,7,9,6,8,15,10,10,11,11,8,7,13,11,9,8,5,11,4,9,6,4,9,2,4,5,2,0,5,2,4,1,4,1,2,1,0,0,1,6,1,1,2,2,0,0,1,0,0,0,0,1
N20000500,6,5,4,5,5,5,4,3,9,5,5,3,4,6,5,3,6,3,7,5,3,1,6,4,4,10,3,4,7,13,8,9,8,4,6,10,1,3,4,11,1,6,3,6,2,4,2,6,6,6,9,8,6,8,7,7,5,10,4,3,4,5,6,6,6,3,1,3,2,5,3,1,0,2,1,0,5,5,1,0,0,1,1,1,1,6
N20000501,18,16,27,11,15,15,19,10,14,8,4,3,14,0,5,0,4,1,3,1,0,2,2,2,2,1,11,7,13,21,9,20,20,19,25,25,24,19,12,13,13,10,9,9,8,5,4,3,3,0,2,10,2,6,1,2,4,1,2,0,0,3,3,1,2,1,1,0,3,0,0,2,0,1,1,0,1,0,0,0,0,0,0,1,1,0
N20000502,3,9,8,4,5,9,6,3,2,5,6,5,5,4,6,5,2,7,4,3,3,4,4,4,8,4,8,9,8,13,11,8,11,7,7,7,6,5,6,9,10,3,8,2,5,4,3,2,9,7,10,7,8,6,6,12,8,2,5,5,4,6,6,5,1,1,2,3,2,1,1,2,4,11,3,3,1,4,3,2,4,1,2,0,2,7
N20000503,2,1,0,1,3,1,6,4,4,5,2,2,5,2,3,10,3,6,4,5,1,3,6,1,9,3,0,3,2,5,2,2,4,5,5,1,5,1,3,5,3,2,0,1,3,5,6,4,4,3,3,5,6,6,10,7,5,7,7,5,11,5,10,6,7,8,3,10,3,5,9,15,3,9,5,8,8,7,7,6,6,2,7,4,3,15
N20000504,6,5,3,3,6,9,6,1,5,3,5,8,5,6,5,1,1,3,2,4,5,4,6,3,2,6,8,7,6,6,4,3,5,9,6,4,5,5,9,6,6,9,6,12,5,10,6,5,4,2,4,4,6,3,5,4,8,7,4,2,6,2,0,3,2,1,3,4,2,2,3,2,3,3,2,0,0,1,0,0,0,0,2,0,0,5
N20000505,7,2,1,4,7,3,2,2,0,3,2,1,0,2,2,4,3,1,4,1,5,2,3,6,6,9,5,1,3,10,10,2,4,4,0,2,5,4,4,2,5,6,4,12,1,1,4,7,5,4,4,4,8,6,8,6,5,6,7,3,3,8,8,4,4,6,6,2,2,4,2,0,3,6,3,2,2,6,0,3,0,12,2,2,1,6
N20000506,5,8,11,8,8,8,2,1,11,8,7,4,12,6,4,4,5,5,6,5,13,7,4,7,4,6,13,8,12,2,10,11,6,8,12,7,11,13,1,3,10,12,9,11,1,10,7,7,16,8,5,8,3,5,6,7,7,3,5,1,6,6,9,5,5,6,3,6,5,2,5,5,4,1,1,2,1,0,3,1,1,0,1,0,0,1
N20000507,20,13,16,11,15,13,8,10,10,7,5,9,2,5,5,4,8,4,7,2,3,5,7,5,9,15,21,12,8,17,19,10,11,13,10,8,8,10,3,12,7,5,11,7,8,8,8,9,4,10,6,8,7,11,8,5,7,8,7,5,4,5,4,5,10,10,9,4,5,3,5,5,5,7,7,7,7,4,1,4,2,2,5,0,4,10
N20000508,2,6,3,1,7,5,4,3,10,4,3,6,6,8,3,5,6,2,6,4,4,6,5,5,3,4,7,9,5,2,4,8,5,3,5,4,11,11,2,4,8,2,3,5,5,5,7,3,7,6,2,3,3,5,9,3,7,5,6,5,7,9,3,6,5,5,6,7,5,3,3,0,3,3,1,0,2,4,3,3,0,1,1,0,2,8
N20000509,3,4,4,8,8,5,7,4,6,3,3,3,3,1,3,3,5,4,5,3,4,4,3,6,10,5,10,6,4,8,8,6,2,3,4,8,3,6,4,2,4,11,3,4,6,6,3,5,5,6,3,7,4,6,2,4,6,3,7,5,3,1,1,3,2,1,5,4,1,1,4,1,0,3,1,2,2,1,1,1,1,1,1,0,0,1
N20000510,10,11,6,7,13,9,7,13,9,8,8,9,11,8,12,8,8,7,6,4,5,5,9,3,9,1,8,4,6,9,8,7,10,6,4,15,8,9,10,8,5,6,7,11,12,9,10,10,6,12,9,9,11,16,11,13,12,5,6,2,7,10,6,6,10,2,2,8,6,5,6,5,4,2,5,1,4,3,3,3,3,2,3,2,3,14
N20000511,4,3,8,2,1,7,6,4,3,5,10,12,9,12,8,6,11,2,3,5,6,10,6,8,6,7,5,6,2,7,12,4,4,7,2,5,12,4,4,14,6,11,3,6,4,6,5,10,6,10,3,14,6,6,4,10,8,13,9,8,19,5,7,6,6,5,5,7,5,12,5,6,9,1,6,3,1,4,5,3,1,1,3,3,2,12
N20000512,4,7,3,9,17,8,6,6,6,8,21,6,2,6,4,4,2,2,2,7,2,6,8,9,9,9,5,10,6,6,13,17,4,4,12,6,10,7,20,8,8,5,7,10,4,5,8,8,9,2,4,7,12,4,4,6,5,13,6,4,4,4,9,5,3,4,2,3,1,6,3,2,3,2,5,4,3,2,2,2,1,1,3,2,1,6
N20000513,2,4,3,6,3,5,5,2,2,5,1,8,12,7,7,8,10,7,6,4,2,4,2,6,4,1,2,0,0,7,4,4,3,2,4,5,5,4,1,2,4,6,8,5,5,11,11,7,4,5,8,5,6,7,12,10,8,6,3,6,3,5,1,4,2,6,4,3,4,1,3,3,8,5,3,6,2,2,1,0,1,0,1,1,3,6
N20000514,11,9,7,10,5,7,9,6,9,9,12,8,4,3,7,7,10,2,3,2,4,5,7,4,3,10,6,4,15,11,13,11,8,7,6,5,12,9,5,9,9,4,10,6,3,8,6,7,5,8,5,7,5,4,3,9,1,6,4,8,7,6,2,4,5,5,2,2,2,1,3,3,5,0,2,3,0,5,2,0,0,1,4,5,2,6
N20000515,5,6,3,4,5,4,8,5,7,8,12,6,6,13,9,6,5,5,1,7,5,1,10,6,11,10,8,9,7,4,6,6,8,5,7,12,9,8,6,9,8,9,5,5,9,10,3,4,6,10,7,5,8,7,5,6,6,9,7,3,8,6,6,9,4,6,4,4,4,4,3,6,5,7,5,0,4,2,2,5,5,5,1,3,3,7
N20000516,4,1,5,9,3,3,3,4,3,7,9,4,5,4,5,6,7,2,8,3,2,5,5,4,5,3,7,4,7,10,1,6,3,8,7,2,4,7,7,5,7,8,4,3,8,11,4,3,3,9,4,3,8,4,9,8,7,5,9,9,3,4,5,5,11,4,10,5,9,4,3,8,8,8,9,2,6,2,9,3,4,3,1,2,1,19
N20000517,8,5,7,5,6,9,4,4,5,5,8,7,2,6,11,5,0,7,3,4,2,6,6,5,5,0,7,8,8,5,3,9,4,9,6,11,12,5,7,6,7,3,8,5,6,3,5,1,4,6,8,3,10,4,10,8,11,13,7,5,3,7,9,5,4,5,5,8,7,2,6,4,2,4,4,4,5,9,5,3,5,1,5,2,2,13
N20000518,6,3,8,7,7,8,3,2,5,4,5,4,5,2,2,4,3,3,2,2,3,1,7,7,3,3,4,8,5,9,3,6,5,5,8,3,3,5,4,2,4,5,11,2,6,2,3,7,3,8,9,8,10,9,8,7,8,13,9,9,7,14,10,9,12,4,7,6,5,5,5,4,5,5,4,3,2,4,7,4,1,3,0,3,3,10
N20000519,6,3,5,4,6,3,1,5,3,3,5,1,0,2,1,2,1,0,3,1,3,3,0,4,4,4,2,3,5,2,4,6,5,7,7,4,5,1,9,0,6,3,4,4,3,10,2,2,5,0,5,4,2,9,6,3,6,6,8,5,6,5,3,3,3,1,2,3,4,6,4,2,1,7,2,7,2,2,2,0,4,2,4,2,1,7
N20000520,6,6,9,9,5,8,3,6,10,11,11,11,21,10,13,8,14,12,7,8,10,6,8,7,7,5,10,6,5,6,8,7,5,4,4,11,3,4,6,8,8,11,8,11,7,9,10,9,21,14,17,22,7,18,12,6,16,16,10,7,3,14,8,5,9,10,4,4,4,2,3,2,5,8,2,2,4,5,2,1,4,5,5,2,1,8
N20000521,5,9,10,6,16,6,12,8,9,10,7,9,13,14,9,5,9,13,5,6,8,5,5,6,5,4,6,8,7,17,8,3,4,12,7,8,8,6,9,10,11,9,11,10,10,6,14,9,7,11,7,15,9,12,10,12,8,9,10,12,12,9,5,12,9,10,3,8,5,8,5,5,4,5,3,2,4,5,11,4,5,1,5,1,3,6
N20000522,7,7,0,5,1,6,4,6,6,3,6,8,4,9,10,3,11,5,12,4,2,7,5,5,4,7,4,4,11,7,10,5,3,3,5,5,6,5,4,5,6,4,7,5,7,2,8,3,7,6,4,10,5,13,7,13,9,5,7,5,6,6,4,3,7,1,6,2,3,6,9,4,7,4,4,10,5,5,3,0,2,6,7,5,6,15
N20000523,6,6,7,3,11,3,5,2,7,2,11,3,7,6,6,3,9,2,2,3,4,5,4,4,5,8,10,7,3,10,10,9,3,5,6,7,0,5,13,4,5,2,3,3,5,7,5,7,3,5,5,10,7,7,9,5,3,6,5,4,7,7,5,7,3,3,6,2,5,2,7,4,4,4,6,8,4,3,3,2,4,7,3,1,2,8
N20000524,6,6,6,2,6,3,8,7,5,5,2,6,2,7,5,3,4,1,8,4,5,7,3,4,6,8,8,3,6,6,9,1,1,4,1,5,8,9,7,1,7,1,3,6,6,5,3,7,6,12,9,8,9,6,10,10,9,5,7,5,12,7,4,8,9,5,11,3,4,3,6,4,4,3,7,6,4,5,3,6,11,6,7,3,3,48
N20000525,7,3,1,3,7,4,6,5,2,3,2,6,2,4,5,2,2,2,5,2,4,6,4,3,11,3,7,4,10,2,3,5,6,7,9,1,4,8,3,4,3,2,2,7,7,6,3,5,8,0,5,8,8,5,4,3,10,5,10,9,4,7,4,6,8,6,4,4,3,4,6,5,9,7,3,6,1,4,5,1,4,2,0,3,3,11
N20000526,3,2,2,5,12,1,0,2,2,4,13,4,3,5,6,2,4,2,2,5,5,4,5,2,3,6,5,3,5,3,5,15,6,2,1,4,3,1,12,4,11,6,4,3,4,2,4,6,10,9,6,7,1,4,5,4,7,3,5,5,2,1,4,1,3,4,4,5,2,2,1,1,5,3,2,2,1,1,3,1,1,0,1,0,1,5
N20000527,7,6,4,10,9,10,16,5,4,6,10,7,8,9,9,6,5,8,5,9,4,6,3,7,4,7,10,5,5,8,5,5,7,12,11,7,8,9,7,10,6,12,16,6,9,3,5,11,4,10,5,4,11,2,4,3,10,5,9,9,4,5,4,8,5,1,6,1,1,3,2,3,2,3,3,5,2,2,1,2,5,2,2,1,1,12
N20000528,3,5,7,3,5,6,4,7,7,4,6,2,7,2,2,9,7,6,2,3,8,7,5,4,11,10,5,4,10,5,5,3,6,3,3,3,3,5,3,5,7,6,2,3,4,7,3,5,4,8,5,6,5,8,6,7,13,7,10,5,3,8,6,6,3,2,6,1,3,2,3,5,0,4,2,1,2,2,7,6,5,2,4,1,3,6
N20000529,7,8,9,6,6,4,6,7,6,11,8,6,13,5,8,8,5,5,4,6,2,2,4,5,6,7,3,8,4,8,7,8,4,4,10,17,10,11,8,6,11,9,6,4,4,6,11,5,4,4,6,4,5,7,5,7,5,5,3,9,4,4,2,2,2,1,1,2,3,5,0,0,2,3,1,0,1,2,4,2,0,3,4,3,4,11
N20000530,8,17,14,11,13,18,11,14,15,10,3,9,12,7,9,4,3,4,7,4,1,6,1,4,4,9,3,9,10,11,12,11,9,12,11,11,13,16,11,13,12,10,11,7,4,5,5,3,5,4,4,2,4,4,2,4,7,1,2,1,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
N20000531,7,3,5,4,5,6,3,3,5,5,5,5,3,4,8,5,5,8,7,3,3,6,1,5,7,8,4,9,3,4,8,2,3,4,3,5,5,2,7,6,6,3,10,5,4,7,4,2,2,5,6,9,10,11,5,11,6,6,7,1,8,7,1,7,5,0,5,5,3,7,5,3,3,5,3,1,4,2,3,4,0,2,7,0,2,9
