dz_2021_code,age_0_years,age_1_year,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_years,age_21_years,age_22_years,age_23_years,age_24_years,age_25_years,age_26_years,age_27_years,age_28_years,age_29_years,age_30_years,age_31_years,age_32_years,age_33_years,age_34_years,age_35_years,age_36_years,age_37_years,age_38_years,age_39_years,age_40_years,age_41_years,age_42_years,age_43_years,age_44_years,age_45_years,age_46_years,age_47_years,age_48_years,age_49_years,age_50_years,age_51_years,age_52_years,age_53_years,age_54_years,age_55_years,age_56_years,age_57_years,age_58_years,age_59_years,age_60_years,age_61_years,age_62_years,age_63_years,age_64_years,age_65_years,age_66_years,age_67_years,age_68_years,age_69_years,age_70_years,age_71_years,age_72_years,age_73_years,age_74_years,age_75_years,age_76_years,age_77_years,age_78_years,age_79_years,age_80_years,age_81_years,age_82_years,age_83_years,age_84_years,age_85_years
N20001844,2,9,6,8,9,4,13,9,13,10,5,5,7,9,6,3,9,8,3,4,4,4,4,2,8,8,3,8,1,6,10,5,4,9,10,1,9,9,9,11,12,13,4,8,6,13,12,10,5,5,10,6,11,12,4,9,13,13,15,5,9,9,7,11,5,7,6,9,12,7,10,12,13,10,11,10,5,9,8,7,0,3,8,6,5,18
N20001845,9,6,14,6,8,6,8,12,6,4,6,11,4,13,9,7,14,11,11,8,8,4,5,13,6,2,11,10,10,5,7,7,6,8,8,8,6,10,6,6,8,10,8,9,5,13,6,8,15,16,9,8,7,10,3,11,9,6,6,10,7,10,7,8,5,3,4,8,4,3,9,7,9,8,12,13,12,2,7,5,5,6,3,3,2,12
N20001846,5,1,2,0,2,4,4,2,2,0,1,8,3,1,1,5,2,8,3,2,3,2,3,7,9,4,0,4,0,2,1,5,7,3,3,2,6,4,0,7,3,5,2,2,0,4,5,2,4,9,2,6,7,9,6,7,4,4,8,6,7,1,7,2,8,4,6,4,4,6,3,1,2,4,3,4,5,4,2,5,1,3,1,0,5,5
N20001847,6,6,5,8,10,4,5,6,8,7,14,8,9,13,8,5,5,4,10,9,4,7,3,8,5,3,7,10,4,3,3,4,6,1,9,8,8,3,5,5,13,9,5,10,12,12,7,7,5,7,15,10,6,19,14,13,12,9,5,12,5,9,7,6,5,9,6,3,3,14,5,13,1,7,13,5,8,11,4,5,7,1,4,6,3,8
N20001848,8,5,7,6,6,9,7,10,9,12,5,11,10,12,9,7,3,7,6,4,2,1,4,6,5,3,2,3,3,6,10,9,9,11,13,15,12,11,7,8,10,11,8,4,6,13,7,12,7,8,10,10,11,6,3,11,10,10,9,7,8,7,3,9,6,9,7,8,3,6,6,0,2,5,10,7,10,7,8,3,4,7,1,4,4,4
N20001849,3,2,2,2,3,4,5,4,6,5,3,5,6,5,2,4,5,4,3,1,0,2,3,0,1,4,5,5,3,1,2,2,2,4,4,4,1,3,2,2,5,4,4,5,6,6,13,3,5,4,0,3,7,0,3,1,3,5,5,4,3,1,7,5,3,5,6,4,4,8,11,10,4,6,3,10,9,8,12,6,5,8,6,6,3,6
N20001850,5,6,5,6,7,7,8,7,8,7,9,4,12,11,8,10,10,7,8,0,4,6,1,5,7,3,4,2,2,4,5,3,4,3,3,7,2,8,9,8,11,8,6,9,8,7,9,3,5,11,16,8,6,4,8,9,15,8,11,13,6,6,5,3,6,8,5,9,12,9,9,12,12,15,12,9,11,4,6,8,4,3,2,2,1,18
N20001851,2,4,3,8,3,8,8,4,14,4,7,7,12,9,10,6,8,7,8,9,3,3,3,4,6,5,1,4,6,3,4,6,6,3,4,4,7,8,10,14,3,12,14,8,9,9,10,7,10,6,10,13,7,6,8,11,13,6,9,3,4,4,5,1,4,4,1,8,6,5,5,5,5,4,4,4,1,1,2,2,0,1,0,0,1,4
N20001852,4,3,3,5,7,5,6,8,7,7,8,8,7,5,6,5,9,8,6,5,4,6,7,6,5,6,2,4,3,6,4,3,3,7,4,2,6,4,4,3,6,13,6,4,6,7,5,5,6,8,11,9,12,8,10,10,6,6,8,6,12,6,7,5,6,10,9,10,11,2,5,6,7,6,9,2,7,6,6,1,4,5,8,0,7,17
N20001853,6,3,6,4,10,10,3,3,7,9,7,5,6,5,2,3,6,8,6,9,7,8,8,7,10,5,5,4,9,4,9,3,5,11,3,4,8,8,10,7,6,7,6,6,5,8,7,4,6,9,13,6,11,10,9,12,9,7,13,11,6,5,9,5,9,1,5,4,6,7,2,1,9,6,1,4,1,6,2,5,0,3,2,0,0,6
N20001854,4,4,1,7,6,5,6,7,4,3,8,6,3,5,4,5,5,7,3,2,1,2,1,5,6,9,1,3,2,3,4,3,2,0,1,3,5,2,5,6,10,6,1,6,6,5,8,1,7,8,6,8,7,4,13,10,7,9,4,12,5,3,4,8,5,7,3,12,12,12,8,7,7,5,3,5,6,4,10,9,5,6,5,11,1,39
N20001855,8,2,12,2,6,6,10,8,4,10,8,7,4,5,7,3,3,4,3,0,4,1,3,2,1,7,4,5,5,3,5,5,4,8,5,11,4,5,3,6,6,6,6,11,6,4,5,3,2,7,2,10,9,5,4,6,9,8,8,3,6,10,5,2,4,5,8,7,6,4,4,4,4,9,2,3,3,3,1,3,1,3,1,2,2,11
N20001856,5,12,7,9,7,11,3,7,6,10,6,10,10,10,6,3,4,10,2,4,9,3,3,7,9,8,6,5,4,2,13,10,7,5,7,11,6,9,3,11,4,14,5,3,10,3,1,5,6,3,7,5,7,3,1,6,7,1,8,4,9,4,12,2,9,5,4,6,9,8,3,6,8,6,1,2,4,3,1,2,2,2,2,6,1,3
N20001857,1,4,3,4,7,3,11,10,3,6,13,5,6,7,6,2,7,1,2,3,8,4,8,0,7,3,5,5,5,3,6,5,4,6,6,0,0,5,2,1,4,15,8,4,2,4,5,4,6,6,7,6,3,7,8,9,7,6,4,7,11,3,5,7,5,6,4,3,5,1,7,3,4,4,5,4,6,5,4,5,2,1,2,4,0,12
N20001858,12,10,14,13,7,8,9,11,7,7,14,6,12,13,11,9,9,9,7,6,2,10,4,5,5,2,1,4,1,3,7,7,15,7,6,9,7,10,9,8,12,14,6,10,13,15,7,8,13,7,10,8,10,3,5,5,4,3,3,1,1,2,2,1,0,0,3,1,2,0,0,1,5,1,0,3,3,1,3,1,0,2,0,0,1,0
N20001859,11,5,10,7,12,9,5,9,7,11,2,5,16,7,6,8,9,7,7,0,4,6,8,5,7,11,6,10,9,14,8,7,10,11,14,10,8,5,10,11,12,10,9,12,10,7,6,10,7,12,8,6,12,10,6,12,9,8,8,8,8,2,2,4,4,6,5,3,6,0,3,3,4,2,2,2,0,2,1,0,4,0,1,0,0,3
N20001860,10,5,5,6,9,2,10,6,2,5,6,4,2,4,1,2,4,5,1,1,2,0,2,0,1,3,1,2,1,3,3,8,5,8,13,6,4,8,5,4,2,7,10,1,2,3,4,5,5,3,7,3,3,5,5,2,2,2,4,2,3,4,6,1,3,3,6,5,4,12,8,3,4,6,14,2,10,6,1,7,4,4,5,2,0,17
N20001861,8,5,11,6,7,8,12,6,2,3,5,10,3,5,5,2,8,3,8,3,4,1,4,3,8,2,4,6,6,8,8,5,11,12,5,7,5,12,9,12,8,4,5,7,3,2,8,6,12,1,4,5,6,7,2,5,3,4,3,4,2,1,1,1,2,1,0,1,0,3,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,3
N20001862,0,5,2,6,0,4,6,5,3,6,3,4,6,6,1,8,3,5,6,1,3,2,6,3,3,5,2,2,6,6,1,4,1,5,2,6,2,3,6,2,2,4,2,8,9,8,6,4,5,10,7,8,7,13,2,9,11,6,7,6,7,7,7,5,5,5,8,7,3,4,5,4,2,4,2,4,0,1,2,3,2,1,0,1,2,8
N20001863,7,9,6,2,13,17,7,9,9,9,9,6,8,10,5,4,2,7,3,3,2,3,4,2,8,7,5,10,9,7,3,6,10,10,7,9,14,8,11,4,7,12,3,5,2,3,5,5,7,9,5,10,9,7,10,9,6,6,2,6,3,1,4,2,0,5,2,1,2,1,5,1,1,1,1,3,2,0,0,3,2,1,1,0,1,0
N20001864,0,1,2,2,5,0,1,4,0,1,4,0,0,3,1,2,2,5,8,3,1,3,5,4,2,4,4,2,1,4,3,0,4,1,3,4,1,3,3,2,3,2,1,8,6,1,3,5,4,4,4,5,7,9,3,7,8,6,9,9,7,9,7,5,7,6,6,7,2,5,3,1,3,6,5,3,2,5,7,3,2,2,4,1,5,9
N20001865,2,1,5,3,2,3,7,5,3,4,1,2,2,3,1,1,1,1,4,3,0,2,1,4,2,2,6,1,5,1,0,2,6,4,6,3,5,4,4,6,8,6,8,6,4,1,5,3,1,0,4,1,4,4,3,5,4,7,4,4,3,3,5,2,2,2,3,0,6,1,2,0,4,3,2,2,1,2,0,1,0,1,1,0,0,4
N20001866,4,1,6,6,1,3,5,2,3,2,5,1,2,3,4,1,2,2,1,4,6,10,3,7,3,10,7,10,2,6,8,10,7,12,5,7,8,4,7,3,1,10,2,3,6,7,5,6,8,5,10,3,2,1,5,2,6,9,3,0,3,1,5,7,4,3,4,5,4,3,2,2,3,0,1,2,2,2,6,3,3,2,0,1,0,10
N20001867,7,5,6,4,8,7,4,11,4,6,4,5,5,7,6,3,7,5,6,3,3,4,6,0,5,10,6,8,7,5,3,5,8,11,8,11,11,9,4,6,4,10,5,7,7,1,3,4,5,5,6,6,6,10,8,5,7,10,7,6,9,4,4,1,3,4,2,3,4,6,6,5,3,5,2,3,3,2,5,3,2,0,1,4,1,3
N20001868,4,4,3,4,3,4,2,8,9,5,6,8,9,8,9,4,18,5,9,4,6,3,6,7,6,2,3,4,3,1,3,8,11,7,4,6,2,6,7,1,6,12,10,10,6,6,5,8,6,6,5,2,9,7,6,10,9,4,11,7,8,5,4,5,1,5,2,8,3,2,0,6,6,3,3,4,3,4,4,3,3,4,5,2,0,4
N20001869,10,1,8,8,5,8,4,5,8,6,4,11,6,9,8,4,16,5,4,7,4,6,8,1,7,6,6,7,6,10,8,4,7,8,9,9,7,11,5,9,7,6,6,0,7,4,5,13,6,17,11,9,8,9,7,6,7,5,5,6,9,6,4,4,3,8,3,5,2,4,3,4,3,5,2,2,2,3,7,1,0,1,2,2,1,5
N20001870,1,4,2,0,5,1,4,3,0,1,0,4,2,0,2,2,1,0,2,0,1,3,2,3,1,6,5,8,2,9,6,2,10,5,5,5,2,0,2,0,1,4,7,5,2,2,4,4,4,7,5,4,5,3,4,3,1,2,0,5,2,2,3,4,1,3,5,2,6,2,5,2,2,3,0,3,5,0,2,3,2,3,2,0,2,7
N20001871,8,4,8,7,7,3,5,6,3,8,16,6,9,7,11,8,1,7,2,3,2,2,3,4,8,1,2,4,8,9,10,8,11,5,7,9,10,9,6,7,6,6,8,5,7,11,5,8,5,6,8,7,6,7,8,11,4,8,4,6,4,5,7,8,8,12,12,6,7,12,13,6,7,6,7,4,8,3,3,2,7,6,5,5,2,17
N20001872,9,10,10,8,8,8,8,12,8,7,12,11,8,11,11,6,8,12,4,5,5,5,8,4,4,10,10,9,7,7,9,17,14,11,10,9,16,8,11,9,12,6,8,8,15,11,13,14,15,9,4,4,10,14,8,10,8,9,5,10,3,2,9,2,5,2,4,1,7,10,1,4,5,5,2,2,2,0,2,3,2,0,1,0,0,0
N20001873,4,0,3,10,9,3,4,3,6,4,5,4,5,7,4,5,3,5,8,5,5,2,2,2,4,4,2,5,1,6,2,4,1,7,9,8,7,10,8,3,6,5,5,6,3,6,4,8,5,8,9,5,9,6,4,9,7,6,10,6,5,8,10,7,3,12,12,13,7,12,4,6,8,10,10,6,9,15,17,10,10,7,10,9,8,46
N20001874,7,5,7,8,2,5,5,14,4,8,8,9,8,5,1,5,3,7,4,5,10,6,7,4,4,6,8,4,12,4,7,8,11,7,7,9,8,8,5,6,7,6,3,10,6,9,7,11,3,7,10,7,5,9,4,4,6,10,7,4,3,4,6,4,2,3,2,2,1,1,0,6,3,1,5,2,4,3,1,1,3,4,1,5,1,8
N20001875,3,6,12,5,9,6,9,10,5,10,12,7,7,8,6,6,7,4,3,1,7,4,4,3,3,5,4,3,9,9,6,5,3,11,5,3,14,9,7,5,9,8,2,5,12,15,11,7,4,7,9,8,8,7,2,9,5,9,11,4,10,7,9,5,7,4,8,10,11,7,10,13,12,16,12,8,15,7,7,13,7,2,7,5,3,15
N20001876,3,6,5,3,4,3,2,6,9,7,3,6,11,4,7,6,4,5,7,7,4,7,7,3,15,5,2,5,5,5,6,9,5,5,9,12,2,2,4,4,7,4,11,6,4,10,8,3,4,14,8,6,12,8,7,8,11,6,7,5,8,6,5,10,5,6,6,1,9,2,6,8,5,3,2,4,3,1,2,6,2,6,4,3,3,7
N20001877,8,5,4,2,5,2,3,2,1,3,4,4,2,1,3,1,4,5,2,1,3,4,12,10,16,7,9,10,15,7,15,15,6,4,11,15,8,7,4,9,15,7,6,9,8,10,10,3,4,3,9,9,11,9,13,7,0,8,6,9,8,10,9,4,3,7,4,8,7,9,4,2,2,5,4,4,1,3,1,2,1,3,5,1,2,5
N20001878,6,11,6,2,4,7,5,5,8,3,6,2,7,7,5,6,3,3,4,2,5,0,0,3,2,0,3,5,11,5,9,9,5,8,7,4,11,10,9,8,3,7,3,6,6,6,5,11,5,5,1,4,5,3,3,4,5,5,5,5,4,4,6,8,8,7,9,4,7,6,7,9,7,6,6,3,6,2,1,5,2,4,3,5,6,16
N20001879,3,8,8,4,2,4,2,4,10,5,3,11,3,5,5,7,4,2,4,3,4,4,9,3,4,4,5,6,13,10,8,8,4,3,7,6,5,5,2,5,7,8,7,5,2,6,6,8,6,11,12,10,4,3,11,8,6,10,5,6,10,7,4,6,10,10,10,5,3,7,4,10,6,13,9,4,9,5,4,5,0,5,4,3,5,6
N20001880,10,10,7,3,11,3,4,3,5,2,8,4,2,0,0,2,1,1,5,5,3,9,5,5,8,6,4,9,9,9,12,7,6,8,6,6,8,3,7,4,3,5,4,2,4,1,3,2,6,2,6,3,6,3,3,3,3,2,4,2,5,4,4,6,7,1,2,6,6,2,2,0,1,6,2,3,2,2,5,2,5,4,3,1,3,21
N20001881,2,3,3,1,4,2,7,5,2,4,2,2,3,1,7,1,1,4,4,4,2,3,3,6,1,5,6,5,4,2,4,7,7,3,5,4,3,4,6,4,5,3,4,4,3,6,11,2,4,4,0,4,5,7,4,4,5,8,10,5,3,5,0,5,4,3,3,2,3,4,1,3,3,1,3,4,5,3,2,3,1,3,3,2,0,4
N20001882,8,6,11,6,7,9,6,10,10,8,11,11,9,2,8,11,2,7,7,4,2,3,4,1,5,6,1,2,4,6,9,7,10,12,5,5,7,2,8,8,6,11,7,9,14,8,4,6,5,3,2,8,6,5,8,4,3,3,5,3,4,2,4,4,1,1,2,1,0,0,2,0,0,1,1,1,1,2,0,0,0,1,0,2,0,2
N20001883,12,5,5,6,6,4,4,5,0,4,4,4,5,2,1,3,3,8,2,3,3,6,3,12,10,10,14,11,16,10,8,10,16,13,14,15,10,10,9,8,8,9,4,2,10,10,11,6,5,7,7,7,6,5,7,10,5,6,8,8,2,8,5,8,3,6,7,4,2,3,1,4,2,8,3,3,0,3,0,0,2,0,0,1,0,2
N20001884,9,9,12,16,11,9,9,10,12,15,5,14,12,18,15,11,15,16,10,9,15,19,32,22,16,39,21,13,21,23,28,15,13,13,12,11,23,11,17,18,16,13,10,8,17,9,13,18,9,12,11,11,15,8,8,10,14,8,11,11,6,9,7,10,5,7,4,6,7,4,2,8,2,0,0,1,1,3,8,0,1,0,0,0,1,2
N20001885,3,4,9,4,5,7,11,6,8,7,6,12,13,8,10,7,11,2,7,6,5,1,5,4,10,5,6,6,5,5,6,5,5,7,7,10,10,10,4,8,10,8,8,8,7,6,6,3,5,7,9,6,5,6,8,11,10,8,15,8,12,11,14,11,8,6,7,6,2,10,4,3,7,2,7,5,4,3,3,2,2,4,2,5,2,9
N20001886,1,0,0,0,0,1,3,1,0,1,0,3,1,1,3,2,2,0,6,2,0,2,0,1,0,4,1,2,1,1,2,0,2,1,2,1,2,5,3,4,1,2,7,6,1,2,0,4,4,3,2,1,1,4,2,11,3,7,1,6,8,6,7,8,10,6,7,3,8,16,9,8,12,12,11,5,7,8,7,4,4,9,11,5,3,24
N20001887,11,6,9,5,9,4,5,4,7,5,4,4,7,7,7,4,3,4,3,8,5,3,3,5,2,4,5,8,9,9,7,7,8,9,11,9,2,6,9,2,9,4,10,3,3,6,7,5,4,9,4,8,6,7,8,8,6,5,3,6,7,7,2,4,4,2,4,5,0,3,0,0,3,0,0,4,3,1,1,2,2,3,5,1,1,6
N20001888,9,7,13,7,9,8,6,12,6,7,11,9,16,10,9,8,3,12,9,10,8,7,4,6,8,3,5,3,7,8,5,4,6,4,5,10,8,8,7,15,18,5,11,11,9,5,14,10,6,12,14,16,15,11,8,4,12,9,9,11,6,8,7,2,7,7,12,8,10,3,10,6,9,5,6,5,7,4,5,3,3,4,7,3,4,23
N20001889,6,16,13,8,7,12,11,18,18,12,16,12,20,14,15,17,9,8,2,2,3,4,6,5,1,4,3,4,4,8,9,6,2,10,8,9,5,7,11,15,20,19,7,16,15,17,11,13,9,5,12,9,11,7,5,7,8,4,3,0,4,1,3,1,2,3,1,0,1,2,0,2,0,2,0,1,0,0,2,0,1,2,0,0,0,4
N20001890,3,4,8,7,10,4,7,6,10,17,10,8,6,7,1,13,6,6,7,3,6,7,5,3,9,9,10,11,11,7,7,3,6,5,7,6,3,5,13,7,3,9,8,9,9,12,7,6,8,12,7,11,13,6,4,7,5,9,6,4,11,3,3,5,1,2,3,0,1,4,5,1,3,8,3,6,5,2,4,2,4,1,1,0,0,3
N20001891,10,10,6,1,4,3,10,3,5,6,2,6,12,8,6,9,5,12,4,6,6,4,2,8,5,6,5,6,6,5,11,7,8,13,4,7,9,6,6,7,8,9,5,9,10,8,7,8,13,11,12,8,8,6,8,14,9,9,5,12,13,7,6,8,6,4,4,6,3,4,4,2,1,7,4,4,1,6,3,1,0,3,4,2,0,9
N20001892,5,3,9,9,13,10,16,7,11,9,9,8,9,8,8,13,11,2,2,2,5,7,6,5,4,5,2,5,7,4,8,10,7,13,5,6,6,7,6,5,4,6,6,9,6,8,6,3,7,6,5,9,4,5,4,7,5,6,5,3,8,2,7,8,6,6,3,3,4,2,8,4,5,5,5,5,2,2,0,3,0,1,1,3,2,4
N20001893,7,5,11,6,4,8,7,11,7,9,13,7,5,13,5,6,5,5,5,2,6,5,6,4,5,3,7,3,7,8,10,4,7,7,11,8,12,7,9,5,6,8,5,10,8,11,9,9,11,4,6,11,4,7,7,6,9,5,3,8,3,8,4,4,2,4,5,3,1,3,4,2,1,4,1,1,2,2,1,0,0,1,1,2,0,6
N20001894,2,2,1,2,6,3,5,2,6,6,4,4,5,5,4,5,0,2,0,4,1,1,4,4,2,2,2,10,6,2,3,5,10,3,4,6,5,8,3,5,8,6,7,10,6,4,3,8,13,4,5,8,8,5,1,6,1,8,4,2,8,4,5,4,4,2,6,2,5,2,6,5,1,10,9,4,8,6,1,1,5,2,2,3,3,8
N20001895,6,4,7,4,8,7,7,6,9,4,6,10,12,5,9,7,7,9,7,10,8,10,6,7,8,6,6,4,3,3,6,8,5,6,9,14,5,11,13,14,5,12,3,8,9,9,7,9,12,8,10,16,10,8,12,12,6,14,13,13,13,12,13,8,6,6,9,10,4,5,6,11,4,2,6,7,3,7,3,2,2,5,2,7,2,9
N20001896,12,8,8,12,12,6,13,12,12,8,12,8,9,11,12,16,12,14,11,13,13,10,17,11,14,21,9,15,16,8,7,11,12,9,8,8,16,7,10,11,15,7,13,8,9,11,11,9,18,15,13,22,24,21,26,21,24,18,21,11,17,9,15,19,12,14,11,14,9,9,5,11,5,9,10,8,6,9,4,3,4,3,5,3,2,13
N20001897,3,6,4,3,9,5,3,6,5,7,4,6,8,8,5,5,4,1,9,3,3,6,3,6,1,3,6,2,4,1,1,4,3,6,8,6,15,10,8,3,6,7,5,2,5,2,6,3,3,5,3,7,6,6,6,7,4,3,3,6,7,5,5,0,5,4,4,4,3,10,5,9,2,2,4,3,1,3,1,6,5,5,0,3,4,8
N20001898,12,4,5,7,7,5,5,7,8,7,3,4,5,5,6,5,7,1,4,0,0,2,3,6,5,7,9,8,21,13,13,11,9,14,16,8,9,9,10,8,6,4,6,2,6,8,1,3,2,7,9,5,4,5,9,8,5,11,8,4,5,5,5,7,3,3,8,4,8,3,2,5,1,7,1,3,0,3,0,0,2,0,0,0,2,3
N20001899,1,3,1,0,6,0,2,3,2,6,2,3,4,3,5,2,10,4,3,4,3,5,5,5,7,8,1,4,8,1,5,4,5,5,7,4,7,2,3,3,4,9,5,6,1,2,5,6,8,5,9,8,11,9,7,8,13,11,10,9,9,5,7,5,11,6,8,11,6,4,9,7,5,10,8,3,2,2,1,6,3,5,1,4,4,3
N20001900,24,23,8,9,6,15,7,10,2,7,1,3,5,6,2,4,3,2,2,5,1,5,3,1,5,8,16,13,17,14,15,17,13,20,17,13,12,6,14,12,6,8,8,6,5,4,6,5,2,5,2,0,2,4,3,8,11,5,6,6,2,8,4,7,4,4,3,3,4,4,3,0,0,3,2,1,2,1,0,1,0,1,2,1,2,3
N20001901,16,16,7,14,11,16,19,12,18,13,13,9,14,21,6,13,7,7,11,5,8,4,4,5,7,7,4,7,7,13,8,10,11,8,12,11,19,12,19,11,15,16,11,8,19,11,18,9,14,9,10,11,7,8,9,9,3,7,3,3,1,3,4,2,1,2,5,0,2,1,2,0,0,1,0,0,0,0,1,0,1,0,2,1,0,1
N20001902,10,13,11,13,10,7,13,14,10,16,12,13,9,21,10,11,10,6,6,3,3,7,6,7,11,2,6,5,4,5,8,5,17,15,7,10,14,7,13,8,9,12,10,14,11,12,11,12,10,6,9,10,11,7,6,13,5,3,3,1,2,1,1,1,0,1,0,0,0,2,1,0,0,1,2,0,2,0,0,0,0,1,0,1,1,0
N20001903,2,4,8,5,10,3,6,7,9,4,5,1,4,8,3,6,3,3,5,6,6,5,6,6,5,4,6,5,2,7,8,4,10,6,7,5,1,6,2,4,4,4,4,3,4,6,5,6,5,6,4,7,9,6,7,4,4,10,3,10,5,7,8,5,4,4,6,5,3,7,3,6,3,6,4,2,1,2,2,4,3,1,0,0,0,6
N20001904,7,7,7,10,10,8,12,14,15,12,16,10,18,13,8,10,13,13,11,7,9,6,1,7,7,4,4,6,4,3,7,7,7,8,7,6,4,8,7,14,11,15,11,14,15,14,15,10,18,7,9,12,18,5,8,7,4,9,7,9,7,2,5,2,4,2,1,2,3,6,5,5,5,1,2,4,3,1,0,1,2,0,1,5,1,3
N20001905,5,5,3,4,9,8,9,9,7,8,6,12,6,10,6,4,4,13,1,6,5,3,8,9,2,4,6,0,7,9,11,4,5,8,4,4,4,9,7,3,9,13,6,7,7,9,6,8,6,3,4,4,5,8,6,8,4,5,5,4,1,9,4,3,4,2,4,1,4,3,4,4,4,5,2,1,1,0,2,3,2,1,1,2,1,1
N20001906,7,8,5,4,11,5,9,9,6,8,8,4,6,5,2,5,1,4,4,3,1,0,7,1,6,6,3,3,11,4,5,5,7,3,3,6,4,8,5,4,5,5,3,5,5,2,0,3,2,6,7,6,4,9,5,5,3,7,4,5,9,3,9,2,1,1,7,3,1,6,0,2,8,1,2,1,5,4,3,3,1,2,0,1,3,4
N20001907,10,16,5,9,10,12,13,13,13,12,7,9,9,9,6,7,6,7,3,3,2,3,2,4,2,5,2,7,4,11,13,13,10,9,20,8,11,6,9,12,8,8,10,10,7,10,9,4,5,5,7,4,7,6,2,6,3,4,3,1,3,3,2,2,0,3,0,4,3,1,1,5,0,2,3,0,0,1,0,0,3,1,2,2,2,1
N20001908,1,2,2,4,0,7,3,2,3,7,4,5,6,2,10,10,5,5,3,4,2,2,3,4,4,3,2,5,2,2,0,0,5,2,4,4,6,3,5,6,3,4,6,3,3,8,4,4,4,11,6,1,11,5,6,12,7,7,4,3,6,7,5,2,4,5,12,6,5,6,5,6,7,11,6,11,4,8,9,4,6,2,9,6,2,25
N20001909,8,6,7,6,9,13,7,9,8,11,10,13,9,7,5,8,12,8,6,4,6,5,4,6,8,10,6,5,6,7,12,7,8,4,9,12,10,9,7,7,8,6,7,7,3,5,3,5,4,8,7,7,12,6,5,10,6,6,8,4,9,4,3,6,4,1,2,2,2,3,2,2,2,6,1,3,1,1,3,3,0,3,1,1,1,7
N20001910,3,5,1,3,4,5,2,5,7,9,11,6,9,4,8,9,7,6,8,2,3,5,8,8,7,5,7,7,1,6,2,5,7,8,9,8,9,10,4,4,12,4,4,5,7,7,4,7,9,10,8,6,7,7,7,5,3,10,5,7,0,9,3,6,0,3,4,7,4,7,3,3,5,2,2,2,3,8,11,5,1,7,3,3,5,6
N20001911,14,5,4,17,5,9,9,9,4,4,7,5,2,5,6,2,2,2,1,1,0,7,4,9,5,10,9,5,7,9,6,7,10,8,5,11,6,9,2,9,11,4,2,5,11,7,1,6,5,4,7,11,4,3,0,3,6,3,2,6,2,2,2,2,2,2,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0
N20001912,2,13,14,10,13,12,15,10,11,21,11,12,16,9,14,13,10,8,11,5,5,5,5,6,7,7,10,8,7,8,9,16,18,16,14,5,10,15,10,11,12,14,5,8,10,15,9,9,2,10,9,11,11,9,5,7,4,6,7,7,5,7,2,5,5,2,4,2,2,1,2,2,1,0,0,3,3,1,1,0,0,0,0,0,0,2
N20001913,8,7,7,11,13,7,10,11,6,18,10,14,12,19,6,7,10,10,13,5,7,6,7,5,8,3,4,0,6,7,4,6,10,6,8,7,8,3,19,9,16,12,22,6,7,8,11,15,12,12,16,11,8,5,13,14,9,5,6,8,3,4,3,4,2,4,0,4,2,2,1,2,5,3,2,1,3,3,1,2,2,0,0,0,0,0
N20001914,8,6,5,2,3,3,3,3,7,3,4,4,8,3,7,4,6,4,3,4,5,2,3,3,2,2,7,6,6,2,2,5,2,3,1,3,7,7,3,2,5,7,8,1,4,8,5,10,5,6,7,7,9,4,3,5,4,4,7,7,8,6,8,9,3,10,7,4,11,5,7,4,5,6,9,6,1,10,8,3,1,1,3,2,4,8
N20001915,6,10,7,10,5,10,7,2,10,5,4,5,5,2,2,3,2,2,0,2,1,1,2,5,5,7,10,6,17,11,9,13,12,11,6,8,4,11,7,6,6,5,7,3,1,6,1,4,7,3,3,4,2,5,1,8,3,4,6,3,5,6,3,2,1,2,1,1,1,3,1,4,1,0,3,2,2,3,5,0,5,1,1,0,0,2
N20001916,5,11,10,7,5,8,6,7,7,11,7,13,8,11,14,8,14,11,8,6,12,7,8,10,6,14,3,9,10,9,7,10,9,10,6,11,8,11,8,7,12,4,4,5,8,10,6,13,14,15,6,11,16,12,12,14,8,14,6,8,12,11,5,13,7,9,7,9,8,10,7,9,7,7,12,4,4,5,5,0,5,5,1,1,2,9
N20001917,5,0,4,7,5,5,13,9,12,8,9,4,12,7,10,12,9,10,7,4,3,6,3,7,4,4,8,1,4,3,2,2,4,4,2,10,4,1,7,9,5,5,4,12,6,7,8,4,9,9,6,5,9,7,13,11,11,11,21,14,15,10,5,8,7,9,10,6,7,4,4,5,5,4,2,5,4,3,3,2,3,2,0,0,2,3
N20001918,8,3,10,3,8,12,5,8,7,11,7,4,9,18,10,9,8,12,7,7,5,13,5,6,8,6,4,7,6,5,3,2,5,9,8,6,5,13,10,11,13,6,4,5,6,4,7,9,12,15,15,14,9,13,11,12,11,8,10,5,9,6,7,13,7,8,7,8,5,6,2,6,8,3,8,3,7,8,2,1,3,1,3,1,2,13
N20001919,8,12,9,9,10,13,12,17,13,10,11,20,15,12,16,17,13,7,11,5,10,7,7,8,7,9,9,10,3,14,10,8,8,9,9,16,15,14,11,14,8,8,9,9,20,10,14,12,9,11,6,10,12,12,9,15,12,7,11,12,6,9,5,0,1,4,7,5,5,2,3,5,2,5,1,2,5,1,3,2,2,2,2,0,2,2
