dz_2021_code,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20000285,102,73,40,4,1
N20000286,84,49,36,8,0
N20000287,119,81,37,5,0
N20000288,74,73,45,22,3
N20000289,43,56,43,12,3
N20000290,29,36,32,33,2
N20000291,43,57,27,6,0
N20000292,80,61,32,8,0
N20000293,78,71,26,4,1
N20000294,115,79,58,17,0
N20000295,95,86,53,11,1
N20000296,80,54,44,10,0
N20000297,107,71,44,10,1
N20000298,84,79,38,11,0
N20000299,68,67,39,12,0
N20000300,83,37,29,7,1
N20000301,114,68,42,15,0
N20000302,115,98,40,12,1
N20000303,97,78,57,23,1
N20000304,80,57,55,29,4
N20000305,110,62,37,9,0
N20000306,116,67,22,4,0
N20000307,106,40,14,1,0
N20000308,59,64,41,13,0
N20000309,81,86,58,15,0
N20000310,58,61,30,6,0
N20000311,123,50,15,3,0
N20000312,82,80,38,18,2
N20000313,59,76,64,44,4
N20000314,44,43,29,10,3
N20000315,71,78,41,18,4
N20000316,63,50,56,23,5
N20000317,98,87,35,12,0
N20000318,61,67,53,18,0
N20000319,20,51,38,27,12
N20000320,49,74,79,35,8
N20000321,29,57,38,31,4
N20000322,32,52,59,32,8
N20000323,33,39,31,21,3
N20000324,45,67,56,19,5
N20000325,83,56,27,10,0
N20000326,53,94,78,24,6
N20000327,51,64,62,54,4
N20000328,47,57,24,10,0
N20000329,129,110,46,9,0
N20000330,57,80,48,16,0
N20000331,110,45,15,4,0
N20000332,93,71,23,6,0
N20000333,51,62,55,27,3
N20000334,91,68,38,7,1
N20000335,97,23,5,2,0
N20000336,100,59,21,1,0
N20000337,117,52,17,2,0
N20000338,64,41,25,4,0
N20000339,109,67,44,8,0
N20000340,80,66,39,5,0
N20000341,111,66,24,8,1
N20000342,55,54,31,8,1
N20000343,105,73,32,4,0
N20000344,81,76,34,3,1
N20000345,87,61,27,4,2
N20000346,103,71,32,12,0
N20000347,70,53,39,2,0
N20000348,81,60,33,5,0
N20000349,54,61,70,28,5
N20000350,102,59,38,18,2
N20000351,45,65,56,18,2
N20000352,83,84,77,34,10
N20000353,79,49,36,8,0
N20000354,102,84,33,13,0
N20000355,87,46,33,3,1
N20000356,101,87,56,8,0
N20000357,53,52,39,4,3
N20000358,91,73,37,7,0
N20000359,118,47,25,17,0
N20000360,58,37,32,5,2
N20000361,121,59,44,3,0
N20000362,102,80,52,15,0
N20000363,64,57,29,8,1
N20000364,93,55,33,7,0
N20000365,84,61,32,5,1
N20000366,71,55,28,5,0
N20000367,112,60,42,6,2
N20000368,113,62,44,12,0
N20000369,98,79,40,2,0
N20000370,66,42,17,6,0
N20000371,62,77,80,38,1
N20000372,109,69,25,10,1
N20000373,82,65,68,30,0
N20000374,36,54,54,18,7
N20000375,15,47,34,23,19
N20000376,13,36,37,23,1
N20000377,64,88,51,19,1
N20000378,51,36,49,15,0
N20000379,48,82,78,35,6
N20000380,57,33,12,0,0
N20000381,65,68,33,11,0
N20000382,46,83,70,22,10
N20000383,103,88,38,6,2
N20000384,112,85,44,5,0
N20000385,32,57,54,27,5
N20000386,32,76,72,30,2
N20000387,28,45,53,15,0
N20000388,32,53,51,22,2
N20000389,116,100,57,12,1
N20000390,36,61,73,30,7
N20000391,17,36,49,23,2
N20000392,60,82,68,39,10
N20000393,51,76,83,29,4
N20000394,40,40,51,15,2
N20000395,55,90,63,22,5
N20000396,41,55,49,28,13
N20000397,111,132,61,11,0
N20000398,49,75,63,21,5
N20000399,41,76,42,28,4
N20000400,41,71,53,29,2
N20000401,107,85,29,8,1
N20000402,115,95,56,22,2
N20000403,47,74,56,19,0
N20000404,76,107,67,17,0
N20000405,90,66,33,7,0
N20000406,43,45,39,15,2
N20000407,52,64,47,9,0
N20000408,45,46,39,6,1
N20000409,23,44,36,18,9
N20000410,56,48,34,20,6
N20000411,82,87,57,13,2
N20000412,98,60,32,2,1
N20000413,119,75,57,13,0
N20000414,91,48,16,4,0
N20000415,92,40,25,7,0
N20000416,107,79,34,9,0
N20000417,88,86,43,4,0
N20000418,111,84,43,10,0
N20000419,75,67,48,8,0
N20000420,81,66,28,1,0
N20000421,123,76,35,4,0
N20000422,115,92,49,6,1
N20000423,113,72,64,10,1
N20000424,117,86,46,11,0
N20000425,63,35,17,4,0
N20000426,105,45,25,2,0
N20000427,70,77,52,10,0
N20000428,128,85,74,14,1
N20000429,49,56,33,10,0
N20000430,81,51,22,6,0
N20000431,38,52,68,35,0
N20000432,31,60,84,37,1
N20000433,136,76,34,8,0
N20000434,49,77,67,26,2
N20000435,115,77,41,24,4
N20000436,101,52,17,3,0
N20000437,36,59,49,23,5
N20000438,80,45,18,5,0
N20000439,31,45,65,42,5
N20000440,38,48,59,25,2
N20000441,69,65,44,11,2
N20000442,40,74,46,21,1
N20000443,117,36,7,3,0
N20000444,82,52,10,3,1
N20000445,54,69,57,24,7
N20000446,130,87,23,6,0
N20000447,123,54,18,5,0
N20000448,103,56,37,4,1
N20000449,58,48,37,18,2
N20000450,57,45,28,3,0
N20000451,125,93,33,5,0
N20000452,67,54,28,11,2
N20000453,90,61,26,9,0
N20000454,43,46,33,11,1
N20000455,123,25,5,1,0
N20000456,75,57,24,6,0
N20000457,118,74,33,11,0
N20000458,66,51,31,15,0
N20000459,85,54,47,8,0
N20000460,177,70,17,5,0
N20000461,177,50,19,3,1
N20000462,109,56,26,4,0
N20000463,80,76,37,10,0
N20000464,121,53,15,1,0
N20000465,29,42,24,10,0
N20000466,56,75,69,23,1
N20000467,85,57,30,9,0
N20000468,55,75,53,21,1
N20000469,113,88,32,10,0
