dz_2021_code,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20001823,51,58,41,11,0
N20001824,133,61,13,2,0
N20001825,23,42,42,27,1
N20001826,42,48,52,22,2
N20001827,47,66,71,38,3
N20001828,39,40,57,42,2
N20001829,64,92,52,31,4
N20001830,41,60,65,34,4
N20001831,26,70,69,56,5
N20001832,35,48,52,34,0
N20001833,65,46,39,17,1
N20001834,109,70,26,3,0
N20001835,29,58,59,24,0
N20001836,52,83,84,49,4
N20001837,54,70,71,48,11
N20001838,32,63,76,38,1
N20001839,64,43,22,10,0
N20001840,95,59,25,3,0
N20001841,27,62,69,44,2
N20001842,34,59,46,34,0
N20001843,43,79,60,42,4
N20001844,95,90,58,12,0
N20001845,50,77,80,54,7
N20001846,46,37,34,28,9
N20001847,90,85,71,29,1
N20001848,66,74,80,41,8
N20001849,55,61,33,2,0
N20001850,142,69,16,0,0
N20001851,120,53,15,1,0
N20001852,86,79,49,9,1
N20001853,40,68,98,56,7
N20001854,103,75,34,2,0
N20001855,102,51,28,5,0
N20001856,63,58,79,37,3
N20001857,34,52,59,48,18
N20001858,105,48,19,3,0
N20001859,89,81,62,20,6
N20001860,75,56,38,18,0
N20001861,89,38,16,5,0
N20001862,82,53,31,7,0
N20001863,86,55,42,10,0
N20001864,23,44,77,37,0
N20001865,54,33,27,3,0
N20001866,69,67,52,15,0
N20001867,96,60,30,11,0
N20001868,34,83,51,26,10
N20001869,62,69,67,25,1
N20001870,29,58,52,30,2
N20001871,100,91,37,13,0
N20001872,143,59,20,3,0
N20001873,90,112,82,17,0
N20001874,81,63,49,13,2
N20001875,86,103,84,10,0
N20001876,85,79,46,24,3
N20001877,113,79,72,28,4
N20001878,80,55,30,14,0
N20001879,82,81,45,16,1
N20001880,30,78,50,26,2
N20001881,56,56,28,16,1
N20001882,61,42,31,15,4
N20001883,95,89,61,42,9
N20001884,127,94,38,11,0
N20001885,54,85,74,43,6
N20001886,26,70,84,40,11
N20001887,33,69,39,50,6
N20001888,130,72,42,5,0
N20001889,129,48,16,2,0
N20001890,44,68,62,38,6
N20001891,121,70,32,7,0
N20001892,42,65,74,32,4
N20001893,79,56,46,12,2
N20001894,79,58,31,10,1
N20001895,135,81,27,9,0
N20001896,133,113,66,21,0
N20001897,70,57,29,4,0
N20001898,122,51,22,7,1
N20001899,97,54,38,3,0
N20001900,142,45,13,0,0
N20001901,130,52,22,5,0
N20001902,118,42,17,8,0
N20001903,36,66,60,28,0
N20001904,134,58,16,3,0
N20001905,44,57,52,24,3
N20001906,37,56,47,28,2
N20001907,100,42,8,2,0
N20001908,62,49,29,6,1
N20001909,45,66,77,29,2
N20001910,55,56,54,19,0
N20001911,79,51,32,8,2
N20001912,92,69,47,14,0
N20001913,111,52,28,10,1
N20001914,62,57,66,25,5
N20001915,86,35,15,5,0
N20001916,133,99,54,11,2
N20001917,108,59,21,2,0
N20001918,113,75,47,6,0
N20001919,141,76,28,5,0
N20001920,102,44,19,7,1
N20001921,105,55,44,19,0
N20001922,82,63,32,9,0
N20001923,84,68,39,5,2
N20001924,66,57,60,30,4
N20001925,93,72,34,5,2
N20001926,88,64,20,7,0
N20001927,97,101,64,22,2
N20001928,82,49,20,2,0
N20001929,72,60,33,3,0
N20001930,46,40,30,11,1
N20001931,44,44,34,20,1
N20001932,91,59,50,10,0
N20001933,64,95,63,26,0
N20001934,144,57,25,8,0
N20001935,96,74,67,11,1
N20001936,86,81,47,19,0
N20001937,61,49,36,5,0
N20001938,82,41,21,7,0
N20001939,82,40,31,8,0
N20001940,41,27,28,10,1
N20001941,59,50,29,12,0
N20001942,108,61,29,5,0
N20001943,22,28,45,23,2
N20001944,73,69,45,27,4
N20001945,63,43,27,6,0
N20001946,135,85,47,20,1
N20001947,80,66,48,16,2
N20001948,92,72,61,15,0
N20001949,121,100,55,11,4
N20001950,84,70,46,14,1
N20001951,95,74,37,12,0
N20001952,54,63,78,36,1
N20001953,77,50,29,10,0
N20001954,94,75,40,11,0
N20001955,108,66,43,8,0
N20001956,93,62,32,11,0
N20001957,28,30,30,17,2
N20001958,35,38,31,12,3
N20001959,53,65,49,17,0
N20001960,61,55,39,5,1
N20001961,90,76,39,15,0
N20001962,84,61,31,7,0
N20001963,45,46,29,22,3
N20001964,74,40,20,5,0
N20001965,31,45,47,22,10
N20001966,94,70,59,9,0
N20001967,118,53,36,6,1
N20001968,68,44,22,7,0
N20001969,34,52,70,34,12
N20001970,66,48,38,7,0
N20001971,103,74,53,15,0
N20001972,29,66,71,37,4
N20001973,24,52,65,34,4
N20001974,57,60,40,18,2
N20001975,29,50,65,48,12
N20001976,53,82,84,42,1
N20001977,36,72,94,36,6
N20001978,53,69,49,30,2
N20001979,46,59,58,36,0
N20001980,69,72,61,29,6
N20001981,51,35,41,12,1
N20001982,31,61,86,44,1
N20001983,50,71,67,34,1
N20001984,40,57,51,48,8
N20001985,38,63,45,20,2
N20001986,110,75,56,11,0
N20001987,105,95,52,17,0
N20001988,86,79,53,24,0
N20001989,107,80,34,20,2
N20001990,107,89,53,18,1
N20001991,53,57,43,13,0
N20001992,50,51,35,17,1
N20001993,32,35,30,11,1
N20001994,80,50,36,12,0
N20001995,67,53,32,8,1
N20001996,87,44,29,9,1
N20001997,108,57,33,9,0
N20001998,102,77,51,16,1
N20001999,38,38,32,19,2
N20002000,48,78,86,24,2
N20002001,69,65,52,32,1
N20002002,59,62,65,29,2
N20002003,17,36,41,34,2
N20002004,82,60,48,26,2
N20002005,78,60,36,21,1
N20002006,64,70,46,15,1
N20002007,64,75,80,26,0
N20002008,82,78,43,20,0
N20002009,44,53,57,26,2
N20002010,40,56,76,37,0
N20002011,66,61,74,36,3
N20002012,33,51,64,36,3
N20002013,101,87,65,33,0
N20002014,62,67,49,19,1
N20002015,62,63,55,16,0
N20002016,41,46,49,15,1
N20002017,85,79,47,5,0
N20002018,59,47,24,7,0
N20002019,49,64,37,14,2
N20002020,42,59,79,31,3
N20002021,34,50,65,36,11
N20002022,81,66,49,10,0
N20002023,64,58,55,17,1
N20002024,120,75,52,14,2
N20002025,102,79,55,13,0
N20002026,42,54,49,18,1
N20002027,51,56,55,15,0
N20002028,73,62,51,15,0
N20002029,89,80,42,4,0
N20002030,92,60,33,9,0
N20002031,110,84,50,10,0
N20002032,89,79,32,6,2
N20002033,56,41,20,4,0
N20002034,55,55,39,18,2
N20002035,75,50,44,22,2
N20002036,96,54,37,13,0
N20002037,111,89,66,14,2
N20002038,118,85,50,12,2
N20002039,110,87,51,6,0
N20002040,135,72,38,7,0
N20002041,94,77,30,10,0
N20002042,49,68,80,32,5
N20002043,34,68,48,26,3
N20002044,72,62,48,10,0
N20002045,42,56,46,31,0
N20002046,102,94,51,7,4
N20002047,82,59,27,4,0
N20002048,92,76,37,9,0
N20002049,73,59,58,17,0
N20002050,58,58,41,11,0
N20002051,106,74,62,14,0
N20002052,90,67,46,10,0
N20002053,67,69,57,17,1
N20002054,83,81,82,25,1
N20002055,127,98,55,17,0
N20002056,77,67,30,9,0
N20002057,102,87,41,7,0
N20002058,94,91,53,11,2
N20002059,78,59,30,12,0
N20002060,72,99,70,23,1
N20002061,160,94,46,7,0
N20002062,86,83,27,5,1
N20002063,82,71,54,9,1
N20002064,74,53,34,5,0
N20002065,124,82,44,13,0
N20002066,153,127,86,16,1
N20002067,79,59,38,7,0
N20002068,103,80,51,9,0
N20002069,144,75,31,9,1
N20002070,74,57,29,3,0
N20002071,92,81,39,11,0
N20002072,73,60,41,2,0
N20002073,119,92,29,4,0
N20002074,64,57,34,8,0
N20002075,88,78,42,10,0
N20002076,84,64,44,4,0
N20002077,113,91,56,22,1
N20002078,81,54,30,4,0
N20002079,131,75,40,9,1
N20002080,85,54,28,13,0
N20002081,86,82,36,6,0
N20002082,62,70,21,6,0
N20002083,89,50,37,4,0
N20002084,77,72,48,7,0
N20002085,36,42,17,1,1
N20002086,53,96,89,41,8
N20002087,145,54,19,6,0
N20002088,106,67,22,10,0
N20002089,37,38,50,20,1
N20002090,106,63,17,2,0
N20002091,62,62,45,17,1
N20002092,86,70,54,26,3
N20002093,107,80,43,13,0
N20002094,152,67,23,5,0
N20002095,70,78,69,31,2
N20002096,54,55,60,19,1
N20002097,81,58,33,21,4
N20002098,86,87,68,23,3
N20002099,74,58,23,1,0
N20002100,87,60,34,4,1
N20002101,42,26,30,14,3
N20002102,89,68,35,17,3
N20002103,60,67,59,14,0
N20002104,84,54,41,8,0
N20002105,49,54,41,22,6
N20002106,69,65,54,25,1
N20002107,55,76,68,55,14
N20002108,101,95,69,15,4
N20002109,76,55,25,9,0
N20002110,39,44,35,8,1
N20002111,82,89,32,4,0
N20002112,74,58,29,2,0
N20002113,108,74,20,3,0
N20002114,75,58,24,5,0
N20002115,62,45,27,4,0
N20002116,57,75,61,31,3
N20002117,84,60,37,10,3
N20002118,79,41,27,6,0
N20002119,88,67,42,9,0
N20002120,98,82,35,4,2
N20002121,90,80,56,7,0
N20002122,94,85,49,10,0
N20002123,78,91,34,13,0
N20002124,80,85,62,18,2
N20002125,81,65,37,12,0
N20002126,75,83,61,24,1
N20002127,120,72,35,4,0
N20002128,82,54,40,4,0
N20002129,86,69,42,13,1
N20002130,102,91,37,5,1
N20002131,63,71,60,24,2
N20002132,80,47,26,9,0
N20002133,104,67,34,4,1
N20002134,48,70,69,32,1
N20002135,79,42,18,8,1
N20002136,20,28,31,29,3
N20002137,94,84,41,10,0
N20002138,33,73,54,36,2
N20002139,102,80,49,9,0
N20002140,71,82,39,10,1
N20002141,78,52,33,9,1
N20002142,106,81,39,18,2
N20002143,92,79,36,3,0
N20002144,103,62,36,9,0
N20002145,115,75,31,4,0
N20002146,66,65,61,19,1
N20002147,103,80,32,6,0
N20002148,93,94,43,5,0
N20002149,66,60,60,26,2
N20002150,58,49,31,2,0
N20002151,97,62,45,2,0
N20002152,72,60,58,16,2
N20002153,84,63,42,2,0
N20002154,73,61,48,31,3
N20002155,86,67,54,7,0
N20002156,104,63,28,4,1
N20002157,95,62,25,3,0
N20002158,80,60,36,9,1
N20002159,49,40,32,11,1
N20002160,103,77,51,12,1
N20002161,120,64,29,10,0
N20002162,76,66,41,11,0
N20002163,48,56,31,10,0
N20002164,165,82,46,11,1
N20002165,95,65,47,6,0
N20002166,50,36,25,10,0
N20002167,31,38,41,20,5
N20002168,114,85,41,8,1
N20002169,49,52,39,9,4
N20002170,28,54,63,40,5
N20002171,82,65,49,19,7
N20002172,38,60,41,29,2
N20002173,107,47,34,3,0
N20002174,105,52,46,16,0
N20002175,89,61,40,10,0
N20002176,119,79,49,12,0
N20002177,102,62,43,12,0
N20002178,77,65,47,11,0
N20002179,82,33,25,6,0
N20002180,97,71,35,8,0
N20002181,115,71,34,6,0
N20002182,124,71,31,8,0
N20002183,54,101,105,77,26
N20002184,44,66,43,23,1
N20002185,47,42,45,25,1
N20002186,54,40,32,3,1
N20002187,108,86,26,11,0
N20002188,23,40,35,19,3
N20002189,61,52,16,2,0
N20002190,114,85,57,11,6
N20002191,35,60,48,22,2
N20002192,58,83,99,44,13
N20002193,88,103,63,11,1
N20002194,45,79,71,27,2
N20002195,51,88,56,31,10
N20002196,128,94,47,12,1
N20002197,46,52,51,20,2
N20002198,43,73,45,48,5
N20002199,43,51,51,15,3
N20002200,67,72,66,26,3
N20002201,65,37,27,2,0
N20002202,65,68,55,17,3
N20002203,41,43,39,19,3
N20002204,35,51,48,32,6
N20002205,38,54,39,29,1
N20002206,40,49,52,14,1
N20002207,74,45,33,27,9
N20002208,50,55,46,22,2
N20002209,63,59,33,4,0
N20002210,105,93,71,7,0
N20002211,59,61,25,9,0
N20002212,29,50,40,38,9
N20002213,111,77,35,8,0
N20002214,87,54,32,6,0
N20002215,99,60,33,7,0
N20002216,92,83,57,11,1
N20002217,87,69,26,4,0
N20002218,92,67,32,6,0
N20002219,122,69,25,3,0
N20002220,96,70,18,3,0
N20002221,76,71,41,6,0
N20002222,53,55,47,18,0
N20002223,77,77,44,12,1
N20002224,88,50,32,9,0
N20002225,70,45,44,9,0
N20002226,113,59,31,7,2
N20002227,72,41,27,4,0
N20002228,65,46,50,10,0
N20002229,61,50,28,11,0
N20002230,67,48,29,7,0
N20002231,100,79,60,9,0
N20002232,70,50,22,6,0
N20002233,104,61,49,12,0
N20002234,64,49,38,7,0
N20002235,76,46,44,13,0
N20002236,132,66,40,18,0
N20002237,97,79,45,14,0
N20002238,115,79,47,10,0
N20002239,79,69,45,6,0
N20002240,97,64,47,9,0
N20002241,36,50,32,15,0
N20002242,76,99,53,18,0
N20002243,66,62,32,8,0
N20002244,79,52,66,11,2
N20002245,99,91,52,10,0
N20002246,87,64,32,6,0
N20002247,85,102,47,19,2
N20002248,101,80,57,17,0
N20002249,90,68,36,9,0
N20002250,82,49,37,14,0
N20002251,65,55,37,14,0
N20002252,98,77,66,30,4
N20002253,74,54,23,6,1
N20002254,112,82,32,4,0
N20002255,42,44,32,14,2
N20002256,99,66,28,6,0
N20002257,154,64,34,10,1
N20002258,98,81,52,18,1
N20002259,89,68,20,0,0
N20002260,115,71,26,10,2
N20002261,95,50,16,2,0
N20002262,110,61,29,1,0
N20002263,134,53,28,12,1
N20002264,91,82,36,3,0
N20002265,56,39,37,9,0
N20002266,114,64,12,1,0
N20002267,47,63,40,13,1
N20002268,178,143,55,5,0
N20002269,158,81,53,14,1
N20002270,62,36,16,14,2
N20002271,124,33,5,1,0
N20002272,172,51,14,2,0
N20002273,112,66,14,2,0
N20002274,120,78,20,3,0
N20002275,162,43,9,0,0
N20002276,82,55,36,5,1
N20002277,131,69,27,11,0
N20002278,88,49,24,9,0
N20002279,65,56,13,3,0
N20002280,103,59,11,1,0
N20002281,184,75,23,2,0
N20002282,82,71,42,12,2
N20002283,61,44,27,3,1
N20002284,155,93,37,1,1
N20002285,113,71,27,3,0
N20002286,61,45,29,2,0
N20002287,83,52,27,7,0
N20002288,152,96,35,4,1
N20002289,112,111,63,13,0
N20002290,88,47,27,6,0
N20002291,62,54,26,14,2
N20002292,142,42,24,5,0
N20002293,70,61,26,7,1
N20002294,88,64,31,4,0
N20002295,83,82,45,14,0
N20002296,137,87,32,6,0
N20002297,86,76,49,8,1
N20002298,89,58,19,5,0
N20002299,92,60,20,4,1
N20002300,116,57,22,5,1
N20002301,58,51,21,1,0
N20002302,79,65,19,6,0
N20002303,126,60,16,5,0
N20002304,82,47,21,5,0
N20002305,163,26,9,1,0
N20002306,159,51,10,2,0
N20002307,74,38,8,2,0
N20002308,144,44,11,2,0
N20002309,174,52,8,0,0
N20002310,168,59,14,2,0
N20002311,63,62,24,2,1
N20002312,150,57,19,9,0
N20002313,99,70,31,1,0
N20002314,65,36,10,2,1
N20002315,81,70,28,11,0
N20002316,60,33,38,10,0
N20002317,93,83,27,3,0
N20002318,51,52,17,2,0
N20002319,128,89,48,9,0
N20002320,198,46,15,2,0
N20002321,136,47,8,2,0
N20002322,130,74,34,5,0
N20002323,137,55,9,6,0
N20002324,109,91,35,9,1
N20002325,91,77,56,11,0
N20002326,95,70,25,2,1
N20002327,73,59,18,2,0
N20002328,97,65,38,3,0
N20002329,74,97,66,34,8
N20002330,110,85,33,6,0
N20002331,26,45,36,13,0
N20002332,71,99,75,26,5
N20002333,73,50,13,2,0
N20002334,68,76,78,44,3
N20002335,29,58,60,22,2
N20002336,150,60,13,1,0
N20002337,94,60,30,5,0
N20002338,46,55,12,3,0
N20002339,80,70,19,6,0
N20002340,26,38,43,15,1
N20002341,76,64,35,36,3
N20002342,167,33,13,0,0
N20002343,63,59,25,2,0
N20002344,150,55,23,1,0
N20002345,40,49,48,37,7
N20002346,58,59,27,4,0
N20002347,61,82,67,23,2
N20002348,75,53,39,8,2
N20002349,168,48,6,0,0
N20002350,91,88,31,5,0
N20002351,161,76,20,7,1
N20002352,65,97,83,9,1
N20002353,145,68,34,12,0
N20002354,41,51,38,20,7
N20002355,60,71,58,17,0
N20002356,76,75,56,18,1
N20002357,67,57,26,12,1
N20002358,114,34,12,0,0
N20002359,27,26,37,18,2
N20002360,90,67,28,5,0
N20002361,41,53,42,13,1
N20002362,73,102,73,35,7
N20002363,70,85,65,17,0
N20002364,46,61,45,13,3
N20002365,25,48,34,22,4
N20002366,87,81,42,14,2
N20002367,61,62,49,13,6
N20002368,51,61,70,44,10
N20002369,69,57,22,7,1
N20002370,43,73,47,11,0
N20002371,30,69,61,40,8
N20002372,125,82,42,3,0
N20002373,79,88,101,68,16
N20002374,59,76,55,39,5
N20002375,52,43,42,14,0
N20002376,36,47,56,31,3
N20002377,141,79,21,16,0
N20002378,72,61,27,2,0
N20002379,94,113,93,39,23
N20002380,49,75,56,27,2
N20002381,80,59,32,13,2
N20002382,78,102,53,26,2
N20002383,101,88,80,43,1
N20002384,61,68,57,12,2
N20002385,139,81,26,1,0
N20002386,110,94,46,17,0
N20002387,141,71,59,14,3
N20002388,43,88,80,25,2
N20002389,131,57,28,2,0
N20002390,108,93,38,7,0
N20002391,53,37,13,4,0
N20002392,208,60,11,3,0
N20002393,109,84,38,3,0
N20002394,76,60,64,28,4
N20002395,135,27,5,0,0
N20002396,79,60,20,1,0
N20002397,104,81,39,12,1
N20002398,88,41,29,6,0
N20002399,149,96,17,1,0
N20002400,42,37,26,4,0
N20002401,79,41,26,11,1
N20002402,84,50,37,8,0
N20002403,111,71,17,4,1
N20002404,130,74,26,4,0
N20002405,84,74,40,2,0
N20002406,125,71,22,0,0
N20002407,32,38,30,8,0
N20002408,106,97,37,3,0
N20002409,51,66,56,20,3
N20002410,85,68,17,0,0
N20002411,133,73,47,27,2
N20002412,90,52,26,9,2
N20002413,61,52,21,2,0
N20002414,96,88,46,14,3
N20002415,47,81,56,8,1
N20002416,81,74,27,5,0
N20002417,100,69,11,1,0
N20002418,69,81,38,16,1
N20002419,59,56,22,3,1
N20002420,66,80,61,23,5
N20002421,38,78,56,28,0
N20002422,49,57,40,15,4
N20002423,56,69,60,34,5
N20002424,131,64,17,1,0
N20002425,137,69,15,9,3
N20002426,125,52,8,1,0
N20002427,111,66,33,8,0
N20002428,33,41,22,6,0
N20002429,53,79,52,15,1
N20002430,81,54,24,1,0
N20002431,42,68,46,10,1
N20002432,56,73,98,46,0
N20002433,87,42,14,1,0
N20002434,40,41,20,13,5
N20002435,162,86,38,6,0
N20002436,117,57,15,4,0
N20002437,166,71,20,1,0
N20002438,88,64,31,2,0
N20002439,150,92,30,5,0
N20002440,118,81,41,17,2
N20002441,160,61,14,4,0
N20002442,104,59,23,5,0
N20002443,102,42,16,0,0
N20002444,115,63,20,2,1
N20002445,110,81,21,1,1
N20002446,109,70,42,3,0
N20002447,125,60,32,5,0
N20002448,102,59,35,4,0
N20002449,114,70,20,5,0
N20002450,97,65,19,3,0
N20002451,96,82,40,9,1
N20002452,90,65,24,2,0
N20002453,78,64,25,3,0
N20002454,117,69,40,14,2
N20002455,63,49,27,9,0
N20002456,153,80,46,6,0
N20002457,138,64,28,3,0
N20002458,136,63,15,1,0
N20002459,102,78,34,3,0
N20002460,69,32,22,6,0
N20002461,199,113,40,8,1
N20002462,89,62,43,12,1
N20002463,102,66,17,4,0
N20002464,91,73,19,5,0
N20002465,100,55,14,5,0
N20002466,49,40,14,4,0
N20002467,153,88,26,1,0
N20002468,126,81,23,8,0
N20002469,74,49,14,1,0
N20002470,156,77,24,2,0
N20002471,102,67,19,2,2
N20002472,89,62,25,3,0
N20002473,79,79,28,7,0
N20002474,186,68,13,3,0
N20002475,109,75,19,2,0
N20002476,174,70,12,1,0
N20002477,119,67,11,2,0
N20002478,162,70,15,0,0
N20002479,63,51,16,0,0
N20002480,162,31,8,0,0
N20002481,109,84,52,21,1
N20002482,166,49,12,0,0
N20002483,182,72,30,3,0
N20002484,132,82,41,20,0
N20002485,77,59,21,3,0
N20002486,46,44,18,4,0
N20002487,142,72,23,3,0
N20002488,141,56,20,3,0
N20002489,69,44,27,2,0
N20002490,109,93,46,5,0
N20002491,122,73,33,3,1
N20002492,53,44,36,21,1
N20002493,31,46,44,35,1
N20002494,115,54,17,1,0
N20002495,146,65,18,4,0
N20002496,145,88,33,5,1
N20002497,104,63,23,5,0
N20002498,69,51,22,3,0
N20002499,128,77,31,2,0
N20002500,158,106,35,5,0
N20002501,95,73,21,8,0
N20002502,79,58,33,0,0
N20002503,125,74,25,3,0
N20002504,59,46,21,9,2
N20002505,120,36,5,0,0
N20002506,57,50,30,5,0
N20002507,29,33,35,25,3
N20002508,101,97,56,22,4
N20002509,170,44,9,0,0
N20002510,59,62,51,14,0
N20002511,60,75,59,29,6
N20002512,61,85,67,21,3
N20002513,45,73,37,13,3
N20002514,85,92,54,20,0
N20002515,103,71,29,1,0
N20002516,124,97,35,6,0
N20002517,36,47,29,8,3
N20002518,115,53,13,4,0
N20002519,77,25,22,1,0
N20002520,80,68,32,5,0
N20002521,57,109,47,27,2
N20002522,49,67,45,18,2
N20002523,41,59,42,33,5
N20002524,112,81,40,12,0
N20002525,73,56,40,9,3
N20002526,178,44,11,2,0
N20002527,70,86,61,46,10
N20002528,106,32,1,0,0
N20002529,40,48,55,23,6
N20002530,60,66,64,29,1
N20002531,78,69,30,1,0
N20002532,111,57,27,2,0
N20002533,30,42,49,16,1
N20002534,88,78,38,16,4
N20002535,68,46,15,0,0
N20002536,127,77,38,3,0
N20002537,56,65,29,4,0
N20002538,144,21,12,1,0
N20002539,127,38,5,1,1
N20002540,81,62,23,6,0
N20002541,83,66,21,7,0
N20002542,71,72,23,1,0
N20002543,47,33,33,8,0
N20002544,67,48,46,13,4
N20002545,105,73,37,5,0
N20002546,141,75,25,2,0
N20002547,86,75,32,4,0
N20002548,99,92,40,6,0
N20002549,93,58,33,7,1
N20002550,107,50,37,3,0
N20002551,71,65,28,6,0
N20002552,82,47,31,5,1
N20002553,62,51,37,7,0
N20002554,42,59,45,23,5
N20002555,103,59,42,9,1
N20002556,66,60,57,29,5
N20002557,114,72,39,3,0
N20002558,46,50,59,31,10
N20002559,61,59,47,7,1
N20002560,47,51,44,13,2
N20002561,77,67,42,16,1
N20002562,83,76,49,13,4
N20002563,124,93,50,5,0
N20002564,122,90,40,14,1
N20002565,68,30,12,2,0
N20002566,89,45,20,7,0
N20002567,109,69,43,14,0
N20002568,72,45,27,11,2
N20002569,92,34,9,1,0
N20002570,107,49,15,1,0
N20002571,90,69,33,4,0
N20002572,104,71,36,6,0
N20002573,106,63,25,6,1
N20002574,140,80,35,3,0
N20002575,7,35,37,25,2
N20002576,83,71,58,22,4
N20002577,89,56,36,11,1
N20002578,112,64,22,13,4
N20002579,127,61,29,5,0
N20002580,86,61,26,6,1
N20002581,102,83,29,6,1
N20002582,102,84,30,4,2
N20002583,95,64,30,5,1
N20002584,128,59,40,7,1
N20002585,84,56,39,1,0
N20002586,120,63,40,9,1
N20002587,31,59,30,18,1
N20002588,50,83,77,25,3
N20002589,56,69,47,24,1
N20002590,85,56,30,3,0
N20002591,60,67,23,3,0
N20002592,85,60,25,3,0
N20002593,113,91,36,11,1
N20002594,48,69,67,43,6
N20002595,106,95,44,9,0
N20002596,35,44,45,11,1
N20002597,65,80,34,3,0
N20002598,91,50,13,1,0
N20002599,78,58,30,2,0
N20002600,103,106,39,6,0
N20002601,52,58,54,22,5
N20002602,71,63,32,9,0
N20002603,113,73,44,1,0
N20002604,105,106,77,24,6
N20002605,72,76,54,8,0
N20002606,113,92,48,8,0
N20002607,62,46,22,3,0
N20002608,26,48,41,20,2
N20002609,97,58,18,4,0
N20002610,67,54,32,6,0
N20002611,74,91,55,30,5
N20002612,69,66,55,16,1
N20002613,108,91,61,24,3
N20002614,33,76,77,51,13
N20002615,46,79,65,30,7
N20002616,29,49,37,24,6
N20002617,71,81,66,41,1
N20002618,96,31,13,2,0
N20002619,33,99,70,48,5
N20002620,57,66,101,53,3
N20002621,108,47,23,0,0
N20002622,32,65,54,27,8
N20002623,67,59,16,3,0
N20002624,97,72,12,1,0
N20002625,36,47,42,32,5
N20002626,46,51,53,13,0
N20002627,20,45,46,21,0
N20002628,94,80,42,19,0
N20002629,61,75,99,45,1
N20002630,72,49,15,1,0
N20002631,45,65,58,28,2
N20002632,95,67,27,4,0
N20002633,89,80,30,3,0
N20002634,111,80,23,3,0
N20002635,79,50,15,3,0
N20002636,48,35,25,9,3
N20002637,129,54,22,1,0
N20002638,79,45,24,6,0
N20002639,114,83,32,11,1
N20002640,112,89,50,19,4
N20002641,75,60,19,9,0
N20002642,82,69,35,10,0
N20002643,96,50,28,8,0
N20002644,68,41,30,8,0
N20002645,112,69,49,10,1
N20002646,144,64,25,8,0
N20002647,123,85,38,5,1
N20002648,130,73,28,2,1
N20002649,69,47,29,8,1
N20002650,69,51,29,7,4
N20002651,76,52,24,3,0
N20002652,116,83,51,13,4
N20002653,90,71,39,7,0
N20002654,154,82,29,2,0
N20002655,105,71,40,13,2
N20002656,72,79,81,19,1
N20002657,33,53,29,21,3
N20002658,112,74,46,4,0
N20002659,51,28,27,7,1
N20002660,88,56,25,2,0
N20002661,65,48,38,14,4
N20002662,109,75,36,9,0
N20002663,129,109,32,2,1
N20002664,110,56,30,3,0
N20002665,25,36,46,40,7
N20002666,45,85,56,39,7
N20002667,63,50,39,10,0
N20002668,105,70,42,5,0
N20002669,58,83,73,18,0
N20002670,80,86,55,7,0
N20002671,57,99,95,41,2
N20002672,43,47,18,4,1
N20002673,48,58,42,22,0
N20002674,75,64,30,3,0
N20002675,61,43,18,7,0
N20002676,100,99,42,3,1
N20002677,84,49,23,1,0
N20002678,107,77,43,7,0
N20002679,83,49,27,2,0
N20002680,60,59,40,26,3
N20002681,116,66,36,9,1
N20002682,124,85,46,11,2
N20002683,90,57,33,14,2
N20002684,52,63,21,3,2
N20002685,59,58,22,5,0
N20002686,46,50,48,17,5
N20002687,105,86,47,16,3
N20002688,44,61,57,21,5
N20002689,69,74,58,21,6
N20002690,61,57,29,3,0
N20002691,110,82,45,5,0
N20002692,102,58,24,2,0
N20002693,90,63,14,2,0
N20002694,81,47,25,9,0
N20002695,95,80,30,4,0
N20002696,68,70,27,8,0
N20002697,94,52,23,5,0
N20002698,41,60,58,28,5
N20002699,102,82,40,6,1
N20002700,89,49,26,2,0
N20002701,55,51,42,10,1
N20002702,49,44,38,13,1
N20002703,44,37,31,18,3
N20002704,46,53,46,16,1
N20002705,90,58,30,5,0
N20002706,60,35,28,3,1
N20002707,63,59,39,3,0
N20002708,42,67,54,23,6
N20002709,83,113,86,25,4
N20002710,72,100,61,23,1
N20002711,57,42,65,21,6
N20002712,32,45,47,18,4
N20002713,70,92,44,7,0
N20002714,69,81,52,27,1
N20002715,83,75,48,10,0
N20002716,154,87,44,14,0
N20002717,41,51,39,27,1
N20002718,84,77,50,12,2
N20002719,44,62,58,31,4
N20002720,55,75,51,21,4
N20002721,15,30,41,39,12
N20002722,78,76,26,4,0
N20002723,36,65,64,34,1
N20002724,49,62,66,17,1
N20002725,38,51,30,8,1
N20002726,113,79,47,9,0
N20002727,66,77,53,26,6
N20002728,83,61,31,9,1
N20002729,17,33,34,17,2
N20002730,96,33,8,1,0
N20002731,132,65,33,8,0
N20002732,61,78,46,18,3
N20002733,106,41,13,2,0
N20002734,40,41,59,18,1
N20002735,97,64,61,25,1
N20002736,73,65,28,5,0
N20002737,110,66,30,4,0
N20002738,115,44,9,5,0
N20002739,112,103,56,11,2
N20002740,105,86,65,15,3
N20002741,72,68,71,12,2
N20002742,137,109,59,6,1
N20002743,147,141,57,6,0
N20002744,153,106,30,9,0
N20002745,109,67,26,10,0
N20002746,121,89,35,7,0
N20002747,94,94,30,7,0
N20002748,89,59,43,8,2
N20002749,80,50,18,3,1
N20002750,81,42,17,4,0
